제목,날짜,분류,기자,본문
N.Korean Laborer Sues Dutch Firm Over Slavery,2018-11-09 13:26,north korea,Jung Ji-sup,"A North Korean laborer who worked in a shipyard in Poland for several years accuses a Dutch shipbuilding company of exploitation in ""slave-like conditions."" Dutch law firm Prakken d'Oliveira said Thursday that it filed a complaint on behalf of the laborer against the shipbuilder, whose name was not revealed, taking advantage of a Dutch law that makes profiting from exploitation a criminal offense even if the company was not the victim's direct employer. Reuters reported that this is the first time ever that a North Korean laborer has taken legal action in a third country. To protect the laborer, the law firm did not reveal his identity. The laborer claims that he was forced to work 12 hours a day in slave-like conditions for Polish shipyard Crist SA, but the Dutch shipbuilder, despite knowing the situation, continued to place orders with the shipyard. The laborer is believed to have escaped and sought asylum. Poland has been a European hub for North Korean labor exports. European human rights organizations have exposed the dire working and living conditions of North Korean workers in Poland on multiple occasions, but this is the first time legal action has been taken, and activists hope the landmark lawsuit will create momentum to turn the international spotlight on the gross human rights violations suffered by North Korean laborers abroad. The UN estimates that there are 50,000 to 60,000 North Korean laborers around the world who earn hard currency for the regime. Read this article in Korean "
Impoverished N.Korea Plans Asia's Biggest Water Park,2018-11-08 12:38,north korea,Yoon Hyung-jun,"North Korea plans to build the largest water park in Asia at the scenic Mt. Kumgang resort with foreign investment even as severe food shortages loom amid international sanctions. North Korea's Kumgangsan International Travel Agency posted an investors' guide on its website detailing plans for the water park. According to the guide, the water park will cover 200,000 sq.m in Kosong, Kangwon Province, making it the biggest in Asia. The idea is to operate it as a joint venture for 10 years, and the travel agency claims construction will only take six months. The agency also said there will be an exhibition center for products from the Mt. Kumgang region as well as a hospital and 700-room hotel. The North is desperate for foreign investment to develop its tourism industry and recently opened a website detailing 14 projects involving a hotel, a power generation facility, railways, restaurants and other services in Wonsan. The North apparently hopes to cushion some of the effects of the sanctions, which ban imports of materials and cash but not tourism itself. This is probably why North Korean leader Kim Jong-un recently visited the Samjiyon area as well looking out masterfully over deserted beaches in Wonsan and Kalma, which are being eyed as tourism destinations. UN Security Council resolutions prohibit the establishment of any joint ventures with North Korean groups or individuals, so the water park is currently a castle in the air. Cho Young-gi at Kookmin University said North Korea ""appears to be preparing ahead for an easing of sanctions. This may also be a form of pressure on the South Korean government to invest money."" Read this article in Korean "
N.Korean Crime Rackets Try to Bring in Hard Currency,2018-11-07 11:27,north korea,Yoon Hyung-jun,"North Korea is resorting to computer hacking, trade in protected animals and other organized crime to earn foreign currency. According to Radio Free Asia, North Korean hackers late last month attacked German construction firm igr AG with a virus dubbed ""Hermes Ransomware."" It stole construction plans for a U.S. Air Force base in Ramstein while paralyzing 100 computers at the builder. The hackers demanded 20 bitcoins then valued at around US$120,000 per computer, but the company says it refused. Several North Korean diplomats in Africa have been nabbed trying to sell rhinoceros horns and elephant tusks to China and Vietnam, U.S. House Representative Ted Poe told Voice of America. He said last year there were 18 cases of North Korean diplomats getting caught over such crimes. Read this article in Korean "
6 Million Cellphones in Use in N.Korea,2018-11-06 12:18,north korea,Park Sang-ki,"About 6 million mobile phones are now in use in North Korea, Unification Minister Cho Myoung-gyon said Monday. Cho was speaking at the National Assembly's budget committee. This means that roughly one in four of North Korea's 25 million people owns a mobile phone. "
Magnitude 3.2 Tremor Detected off N.Korea's Southwest Coast,2018-11-06 09:14,north korea,Arirang News,"Two earthquakes rocked the sea floor off the southwestern coast of North Korea at around noon on Monday. According to the Korea Meteorological Administration, the first was a magnitude 3.2 tremor near South Hwanghae Province. It was followed by a smaller one nearby at a depth of 15 km. The quake was felt on South Korea's northernmost island in the West Sea. "
Defectors Blame Kim Jong-un for N.Korea's Economic Failure,2018-11-05 12:56,north korea,Kim Myong-song,"The living conditions of North Koreans have deteriorated since the isolated state allocated huge sums of money to developing nuclear weapons and testing long-range missiles, prompting unprecedented U.S. sanctions. The conclusion comes from interviews the Institute for Peace and Unification Studies at Seoul National University conducted with 87 defectors who fled the North last year and this year. Only about one-third said they had enough to eat, and many said they went hungry ""once in a while"" or ""often."" Not many earned more than W100,000 in South Korean money a month. Asked what they felt was the biggest stumbling block to North Korea's economic development, about half blamed Kim Jong-un, and many cited the bureaucracy. About half said Kim is doing a poor job, though the rest still feel he is doing well even though they have fled the country. Asked why they defected, about half cited dissatisfaction with the regime or other political reasons, but a quarter gave economic reasons. "
N.Korea 'Still Mining Uranium',2018-11-05 09:46,north korea,"Lee Kil-seong, Jun Hyun-suk","North Korea seems to have continued uranium mining operations even during denuclearization talks with South Korea and the U.S., the website 38 North at Johns Hopkins University said on Friday. The website said a suspected uranium mining and milling facility in Pyongsan, North Hwanghae Province has been in operation until recently. Analysis of satellite images taken from 2016 to May this year shows ""significant growth in the volume of the mining spoil piles and the accumulating waste"" nearby, it said. "
"Report: N.Korea Readies Nuclear, Missile Sites for International Inspectors",2018-11-01 08:14,north korea,VOA News,"South Korea's spy agency has observed preparations by North Korea for international inspections at several of its nuclear and missile test sites, the Yonhap news agency said on Wednesday, citing a South Korean lawmaker. Kim Min-ki of the ruling Democratic Party told reporters the South's National Intelligence Service observed North Koreans ""conducting preparation and intelligence activities that seem to be in preparation for foreign inspectors' visit"" at Punggye-ri nuclear test site and the Sohae Satellite launching ground. The lawmaker added no major movements were seen at Yongbyon, the North's main nuclear complex. North Korea has stopped nuclear and missile tests in the past year, but it did not allow international inspections of its dismantling of Punggye-ri in May, drawing criticism that the action was merely for show and could be reversed. In September, its leader, Kim Jong-un, also pledged at a summit with South Korean President Moon Jae-in to close Sohae and allow experts to observe the dismantling of the missile engine testing site and a launch pad. "
Kim Jong-un Resumes on-Site Inspections,2018-10-31 11:28,north korea,Yoon Hyung-jun,"North Korean leader Kim Jong-un visited a construction site in Samjiyon, Ryanggang Province, North Korean state media reported on Tuesday. This was his first public appearance in 19 days since his on-site inspection of the newly renovated theater of the Samjiyon Orchestra on Oct. 11. The North Korean regime has focused on developing Samjiyon, where Mt. Baekdu stands, as a tourist attraction. Massive construction and renovation projects are underway on Kim's orders. "
"N.Koreans Continue to Work in China, Russia Despite UN Sanctions",2018-10-29 13:13,north korea,Lee Kil-seong,"China and Russia continue to be the weak links in international sanctions against the North, as they continue to allow North Korean workers to work there. Hong Kong's South China Morning Post reported on Saturday that North Korean workers and seafood products continue to trickle into China. ""More than 2,000 North Koreans are working in local pharmaceutical and clothing factories"" in Hunchun of China's Jilin Province, the daily said. At the same time, North Korean seafood products are still easy to find in open-air markets in Yanji and Hunchun. Russia also continues to accept North Korean workers against international sanctions. ""The UN banned the issuance of new work permits to North Korean workers in September, but Russia is believed to have hired 10,000 North Korean workers,"" Roh Chang-hee, a defector, told a forum in Washington last week, according to Radio Free Asia. "
