제목,날짜,분류,기자,본문
"文대통령, ‘MB고향’ 포항서 하루 종일 ‘일자리·경제’ 역설",2018-11-08 19:20,정치,,"일자리를 위한 전국투어 두 번째 행보로 경북 포항을 찾은 문재인 대통령이 8일 이명박 전 대통령의 고향인 포항에서 하루종일 ‘지역 일자리’와 ‘경제’를 강조했다.문 대통령은 지난달 30일 전국투어 첫 번째 행보로 전북 군산을 찾아 새만금 재생에너지 비전 선포식에 참석한 데 이어 8일 포항을 방문했다.전북은 여권의 전통적 지지층으로 꼽히는 호남지역에 속한다는 점에서 문 대통령에게 우호적 기류가 있는 곳이다.하지만 포항은 이명박 전 대통령의 고향이라는 점 등 보수적 색채가 강한 곳으로 꼽힌다. 문 대통령이 그럼에도 사실상 하루를 할애해 전국 중 두 번째로 포항을 들른 것은 경제, 평화 등의 가치에 중점을 두고 있다는 해석이다.특히 문 대통령은 이날 경제문제에 주력하는 모습을 보였다. 이는 최근 잇따라 악화된 경제지표가 발표돼, 이 기류가 민심악화로 이어지는 분위기 속 ‘민심 달래기’에 나선 것으로 풀이됐다.문 대통령은 포항에서 가장 먼저 죽도시장을 방문해 포항시 지역상품권으로 과메기 3만5000원 어치를 사고 시장 민심을 청취했다.한 건어물 가게에 들른 문 대통령은 상인에게 “요즘 장사하시기 어떠십니까”, “멀리 떨어진 지역에서도 사러 오시나요?”라는 질문들을 던지는 한편 상인들의 ‘셀카’ 제안에 응했다.뒤이어 문 대통령은 포항 소재 포스텍 4세대 방사광가속기 연구소에서 경북 지역 경제인들과 간담회를 가졌다.문 대통령은 이 자리에서 모두발언을 통해 “정부는 경북의 경제혁신 노력에 힘을 더하겠다”며 “지역기업과 대학, 연구기관이 협업해 4차 산업혁명시대의 산업생태계를 만들어갈 수 있도록 지원하겠다”고 약속했다.특히 문 대통령은 한반도에 평화가 찾아오면 경북이 그 중심에 설 수 있으며 이는 경제활력으로도 연계될 수 있다고 강조했다.문 대통령은 “한반도에 평화의 시대가 열리면 경북은 정부가 추진하는 신북방정책의 거점이 될 수 있다”며 “포항 영일만항은 북쪽으로 북한 고성항과 나진항, 극동 러시아의 블라디보스톡항과 자루비노항을 연결하는 북방 교류 협력의 거점이 될 잠재력이 풍부하다”고 말했다.이어 “2020년 영일만항 국제여객부두가 완공되면 환동해권의 새로운 해양관광산업도 일으킬 수 있다”며 “동해선 철도가 이어지면 유라시아 북방교역의 핵심 역할을 담당하게 될 것”이라고 했다.문 대통령은 간담회를 마치면서는 지역경제를 살리기 위한 지방자치단체 역할의 중요성 등을 강조했다. 지역을 잘 아는 해당 지역 지자체와 중앙정부가 적극 소통해야 한다는 뜻이다.문 대통령은 “대한민국 경제는 지역경제의 총합이다. 대한민국 경제가 어렵다면 지역경제가 어렵기 때문”이라며 “(지역경제의) 어려움을 극복하기 위해서는 지방자치단체와 중앙정부의 협업이 필요하다. 이를 위해 함께 노력해나가자”고 말했다.문 대통령은 간담회 후에는 고인수 포항 가속기연구소장 등의 안내로 연구소 내 빔라인 시설 현장을 방문했다.이후 문 대통령은 경북 포항공과대학교(포스텍) 체육관에서 열린 제1회 한러 지방협력 포럼에 참석했다. 무엇보다 이 자리는 문 대통령의 신(新)북방정책 핵심국가인 러시아와 연계됐다는 점에 방점이 찍혔다. 북쪽으로 경제영토를 넓힌다는 신북방정책은 남북경제협력(경협)과도 관련성이 크다.문 대통령은 축사를 통해 “우리 정부는 러시아 극동지역과의 협력 강화를 위해 작년 8월 대통령 직속으로 북방경제협력위원회를 출범시켰다”며 “러시아의 극동개발부와 힘을 모아 양국 지자체가 서로 손을 맞잡을 수 있도록 뒷받침하겠다”고 말했다.이어 “유라시아 대륙의 평화와 번영을 실현하는 위대한 여정에도 양국 국민이 함께 하길 희망한다”고 덧붙였다.아울러 이날 포럼에서는 5개항의 ‘포항선언’이 선포됐다.      여기에는 러시아 정부의 ‘2025 극동·바이칼 사회경제개발 정책’과 한국 정부의 ‘신북방정책’에 따라 러시아 연방 극동지역과 한국간 상호 협력 강화를 위해 경제·통상, 교육·과학, 인적·문화 교류에서 협력을 증진해나가기로 하는 내용 등이 담겼다. (서울=뉴스1)   "
조명균 “‘리선권 냉면 발언 관련 北에 유감 표명’ 아는 바 없다”,2018-11-08 18:05,정치,,조명균 통일부 장관은 8일 북한 리선권 조국평화통일위원회(조평통) 위원장의 ‘냉면’ 발언에 대해 우리 측이 북측에 ‘유감’을 표명했다는 설을 사실상 부인했다.조 장관은 이날 국회 외교통일위원회 전체회의에 출석해 천정배 민주평화당 의원의 관련 질의에 “제가 파악하고 있는 내용이 없다”라며 “우리로서는 내부에서 우선 관련 사항(사실관계 등)을 파악하고 있는 단계”라고 말했다.조 장관은 ‘북측에 유감 표명과 재발방지를 요구해야 하는 것 아니냐’는 천 의원의 질의에는 “우선 관련 사항을 면밀히 파악한 뒤 합당한 조치를 취할 것”이라며 “앞으로 어떻게 하는 것이 필요한지 검토하겠다”라고 답했다. 리 위원장은 지난 9월 평양 정상회담 당시 우리 측 특별수행원으로 동행한 기업인들과 옥류관 오찬에서 만나 “지금 냉면이 목구멍으로 넘어가느냐”는 무례한 발언을 했다는 의혹을 받고 있다. 앞서 일부 매체는 이날 정부가 통일부 혹은 국가정보원 등 대북 채널을 통해 북측에 리 위원장의 발언에 대해 ‘유감’을 표명했다고 보도했다.다만 조 장관은 지난달 29일 외통위의 종합 국정감사에서 정진석 자유한국당 의원의 관련 질의에 “비슷한 이야기를 들었다”라고 답한 바 있다.    천 의원은 조 장관의 국감 답변과 관련해 이날 조 장관에 재차 사실 여부를 확인했고 조 장관은 “(리 위원장의) 그런 발언이 있었다고 시인하거나 인정한 것은 아니다”라며 “현장에서 들은 것은 아니며 그런 비슷한 이야기를 들은 것 같다는 취지였다”라고 설명했다.(서울=뉴스1)    
"국방차관 “GP 포크레인으로 철거…작업, 곧 시작”",2018-11-08 17:59,사회,,"서주석 국방부 차관은 8일 남북이 추진중인 비무장지대(DMZ) 내 상호 감시초소(GP) 11개소 철거와 관련, “11월 말까지 작업하게 돼 있기 때문에 곧 시작한다”고 밝혔다. 서 차관은 이날 국회 국방위 전체회의에서 ‘9·19남북군사분야 합의서’에 따라 남북이 진행하고 있는 DMZ 내 GP 시범철수와 관련 파괴 절차 시기를 묻는 무소속 서청원 의원에 질의에 이같이 답했다. 서 차관은 “GP 철수에 81억원의 (내년도) 예산이 요청됐다. 폭파할 것이냐고 했더니 (국방부가) 포크레인으로 파괴하겠다고 했다. 어떤 방향을 쓰는가”라는 질의에 대해선 “각 GP마다 하나 하나 계약을 하고 있다”고 밝혔다. 서 차관은 ‘민간과 계약을 체결한 것이냐’는 질의에는 “굳이 포크레인 쓰는 건 굴착기로 하면 잔해가 멀리 날아가지 않는다. 폭파하면 여기저기 떨어진다. 근처가 지뢰 지역이라서 포크레인으로 하려고 한다”고 설명했다. 서 차관은 ‘이달 말까지 파괴 완료가 가능하냐’는 질의에 대해선 “계약 체결이 완료됐다”고 말했다. 이날 김도균 국방부 대북정책관(육군 소장)은 “최초 9.19 군사합의 체결 과정에서는 우선 폭파 방식으로 합의했다 그런데 여러가지, 완전 파괴라는 상호 완전파괴의 결과 도출 고려할 때 저희 내부에서 여러 방식을 추가적으로 검토를 했다”고 말했다. 김 정책관은 “그래서 폭파방식보다는 차관 보고처럼 굴착기 내지 포크레인 활용한 방식이 완전파괴 효과도 달성하면서 기타 환경 문제, 안전보장 문제들을 해소할 수 있다는 판단 하에 폭파방식을 굴착기 포크레인 방식으로 전환했다”고 설명했다. 남북은 지난달 군사회담에서 이달 중 상호 1km 거리 이내에 있는 GP 각 11곳을 완전파괴 형태로 철거하고 12월 중 상호 검증절차를 진행하기로 합의한 바 있다.      다만, 남북은 각자가 판단한 1개의 GP를 보존 대상으로 선정했고 해당 GP는 병력과 화기 및 장비 일체를 철수하되, 시설물에 대해서는 완전파괴 조치 대신 원형 상태를 유지하기로 했다(서울=뉴스1).   "
"정병국 “정부, 경협예산 숨겨 어영부영 넘어가려해”",2018-11-08 17:33,정치,,"국회 외교통일위원회 소속 정병국 바른미래당 의원은 8일 판문점선언 비준동의안의 국회 제출 때 남북경제협력에 관한 정부의 비용추계와 관련해 “이번 (2019년도 정부) 예산에서는 일부만 반영이 되고 나머지는 비공개로 나와 있는데, 제가 입수한 자료를 보니까 이러한 예산들을 숨겨 가지고 어영부영 넘어가려고 하는 부분들이 있다. 이런 부분들은 명확히 짚을 생각”이라고 했다. 정 의원은 이날 오전 cpbc라디오 ‘열린세상 오늘, 김혜영입니다’와의 전화 인터뷰를 통해 “지금 정부가 남북 간의 경협을 너무 과속하고 있다. 유엔 제재라든지, 미국 제재라든지, 우리의 5·24 조치에 의한 제재라든지, 이런 부분들이 상존하고 있는데도 불구하고 이런 것을 무시한 차원에서 예산 편성을 하고 나가는 부분들이 많이 있다”고 밝혔다. 정 의원은 “막대한 예산이 들어가는 안에 대해서는 국회의 비준 동의를 받아야 한다는 남북관계발전법을 근거로 비준동의안을 제출했었는데, 그렇다면 비준 동의를 받지 않은 상황 속에서 예산 편성을 할 수가 없는 것”이라며 “그런데 예산 편성을 또 해놨다. 이 정부가 앞뒤가 맞지 않고 논리가 없다”고 지적했다. 이종철 대변인은 이날 논평을 내 “우리 당 정 의원에 따르면 통일부가 1조970억원으로 책정한 내년도 남북협력기금 사업비 중 3500억원 가량의 금액을 북한과의 철도 및 도로 협력 사업에 책정한 것으로 나타났다. 이는 남북협력기금 전체 사업비의 3분의 1에 해당되는 액수”라며 “더욱이 통일부는 남북경협 기반 사업 예산 4290억원 가운데 고작 2.7%에 해당하는 117억원만 공개했을 뿐, 나머지는 모두 비공개로 분류해 국회에 제출했다”고 전했다.   이 대변인은 “UN과 미국의 대북제재 하에서는 철도 연결 등 어떠한 남북경협도 불가능하다. 미국 등 국제사회는 한국의 대북제재 이탈을 국제 공조의 틀을 깨겠다는 선언으로 밖에 받아들일 수 없을 것”이라며 “악행은 밀실에서 시작된다. 숨길 것이 없다면 국민에게 세금이 어떻게 쓰이는지 투명하게 내놓아야 할 것”이라고 덧붙였다.(서울=뉴스1)     "
국방부 “9·19 남북 군사합의 이행에 추가비용 101억”,2018-11-08 16:10,정치,,"국방부가 9.19남북군사합의 이행을 위한 소요 예산을 올해와 내년에 총 150억1000만원으로 책정하면서, 이중 101억4000 만원을 증액 요청한 것으로 8일 확인됐다. 전일 국방부가 국회 국방위 백승주(자유한국당) 의원에게 제출한 ‘9·19 군사합의서 이행에 따른 추가소요’ 자료에 따르면 2018~2019년 합의 이행 예산은 150억1000만원이다. 국방부는 남북 공동유해발굴, 공동경비구역(JSA) 비무장화, 감시초소(GP) 시범 철수, 서북도서 포병부대 순환훈련에 비용이 소요된다고 설명했다. 이중 올해 편성된 40억1000만원은 변동이 없지만, 내년 예산은 당초 8억6000만원에서 101억4000만원이 추가돼 110억원으로 증가했다. 추가된 항목은 비무장지대(DMZ) 내 감시초소(GP) 철거비 81억8000만원, 서북도서 포병부대 순환훈련 비용 19억6000만원이다.국방부는 지난달 30일 국회에 제출한 답변에선 “현재까지 추산된 소요는 2019년 예산에 기반영돼 있거나 기존 예산 범위 내에서 집행이 가능한 것으로 판단하고 있다”고 밝혔다. 이날 국방부는 “남북군사합의 이행을 위한 추가적 재정소요는 ‘18~’19년 간 150억 원 수준으로 추계하였으며, 이는 현 시점에서 구체화할 수 있는 사업의 규모를 최대한 포함한 것”이라고 설명했다. 국방부는 기자들에게 전한 문자 메시지에서 이같이 전하며 “향후 남북군사합의 이행을 추진해나가는 과정에서 추가적인 비용이 필요하게 되는 경우, 투명하게 설명 드릴 수 있도록 하겠다”고 덧붙였다. 한편 이날 백승주 의원은 국회 국방위원회 전체회의에서 10월30일과 11월7일 사이에 101억4000만원이 추가됐다고 언급하며 “중대한 예산 누락에 대한 국방부 장관의 해명과 국민에 대한 사과가 있어야 한다”고 지적했다.      이에 정경두 국방부 장관은 “금년도 예산에서 일부 조정해서 할 수 있는 부분들을 제외하고 내년도에 약 101억원 정도 수준으로 예산이 투입될 부분이 있다며 ”그 부분은 조금 죄송스럽게 생각한다“고 말했다.(서울=뉴스1)   "
"국방부 “남북, 시범철수 GP 11곳 중 각 1곳 시설물 보존 합의”",2018-11-08 14:18,정치,,"남북이 9·19군사합의 이행을 위해 비무장지대(DMZ) 내 GP(감시초소) 11개를 시범 철수키로 한 가운데 1개 GP는 역사적 가치를 고려해 보존키로 했다.국방부는 8일 “지난달 26일 제10차 남북 장성급 군사회담과 상호 문서교환을 통해 보존 가치가 있는 일부 GP에 대한 유지 필요성에 공감하며 11개 GP 중 각 1개 시설물을 보존하기로 합의했다”고 밝혔다.남북 군사당국은 판문점 선언 이행을 위한 9·19군사합의에 따라 지난 1일부터 DMZ내 상호 시범철수 GP 11개에 대한 절수 절차에 들어갔다.이달 말까지 시범 GP의 화기·장비·병력을 완전 철수하고, 시설물을 완전 파괴한 뒤 다음달 상호 검증절차를 진행할 예정이었다.국방부는 “남북이 각자 판단한 1개의 GP를 보존 대상으로 선정했고, 해당 GP는 병력과 화기 및 장비 일체를 철수하되, 시설물에 대해서는 완전파괴 조치 대신 원형 상태를 유지하기로 했다”고 설명했다.우리 측은 역사적 상징성과 보존가치, 향후 평화적 이용 가능성 등을 종합적으로 감안해 동해안지역에 위치한 GP를 보존하기로 결정했다. 북측 역시 자체 판단 기준에 따라 중부지역의 GP 시설을 남기기로 했다.우리 측 보존 GP는 동해에 가장 가까운 곳으로 강원도 고성에 위치했다. 정전협정이 체결된 1953년 최초 건축된 GP로 북측 GP와 불과 580m 떨어져 있다.국방부는 금강산, 동해안, 감호 등과 연계해 평화적 이용 가능성이 매우 높고, 동해선 남북도로와 근접해 있어 접근성 또한 뛰어난 장소로 역사적 가치가 높다고 판단했다.국방부 관계자는 “남북은 해당 GP의 시설물을 완전히 파괴하지 않고 원형을 유지하기로 한 만큼, 향후 관련 시설물이 군사적 목적으로 사용되지 않도록 지속적으로 상호 확인·관리해 나갈 예정”이라며 “12월 말까지 시범철수가 완료될 수 있도록 제반 노력을 지속 경주할 것”이라고 말했다.한편, 국방부가 GP 보존의사를 밝히기 앞서 국회 국방위원회 소속 바른미래당 하태경 의원은 시민단체와 기자회견을 열어 “GP 철수는 대결을 종식하고 평화를 향하는 상징적 조치로서 큰 효과와 의미가 있다”며 보전방안을 남북 간 회담에서 협의해 줄 것을 요청하기도 했다. ﻿ 【서울=뉴시스】        "
"文대통령, 신임 주한 美사령관에 “전작권 전환·주한미군 재배치 협의” 요청",2018-11-08 13:30,정치,,"문재인 대통령은 8일 로버트 에이브람스 신임 주한미군사령관에게 “전시작전통제권 전환, 주한미군 재배치 등 당면한 현안 과제들에 대해서도 긴밀한 협의를 통해 차질 없이 추진해주길 바란다”고 요청했다.문 대통령은 이날 ‘한미 연합군사령부 창설 40주년’ 축사에서 “앞으로도 에이브람스 사령관을 중심으로 더 공고한 한미 연합방위태세가 유지될 것이라 믿는다”며 이같이 말했다. 문 대통령은 먼저 창설 40주년을 맞은 것과 관련해 “지난 40년, 평화와 안보를 향한 한미 연합군사령부의 투철한 사명감이 오늘날 대한민국 번영의 기틀이 됐다”며 “장병 여러분의 헌신에 대한민국 국군통수권자로서 감사의 경례를 보낸다”고 했다. 이어 “특별히 지난 31개월, 연합사령관의 소임을 성공적으로 수행하고 이임하는 빈센트 브룩스 사령관에게 감사의 말씀을 드리며, 신임 에이브람스 사령관에게 축하의 마음을 전한다”고 했다.문 대통령은 “한미 연합군사령부 역사가 한미동맹의 역사”라며 “전쟁의 포화 속에서 피로 맺은 한미동맹은 한반도를 넘어 동북아의 평화를 지켜왔고, 지금은 한미동맹의 힘으로 새로운 평화를 만들어가고 있다”고 평가했다. 특히 “3차례 남북정상회담과 북미정상회담의 기적과 같은 역사는 강력한 한미 연합방위의 뒷받침 덕분”이라며 참으로 자랑스럽다“고 했다.그러면서 ”한미 연합군사령부 장병들을 무한 신뢰한다“며 ”항상 영광과 무운이 함께 하길 기원한다“고 덧붙였다.한편 브룩스 사령관은 이날 이임식을 끝으로 약 2년 7개월의 한국생활을 마무리한다. 에이브럼스 신임 사령관이 한미연합사령부, 주한미군사령부, 유엔군사령부 등에 대한 지휘권을 넘겨받을 예정이다. ﻿【서울=뉴시스】            "
"강경화 장관 “北, 美측에 일정 분주하니 회담 연기 설명”",2018-11-08 11:55,정치,,"8일(현지시간) 개최 예정이던 북미 고위급 협상이 연기된 건 북측이 ‘일정 분주’를 이유로 회담을 연기하자는 제안에 따른 것이라고 강경화 외교장관이 밝혔다. 강 장관은 8일 국회 외교통일위원회 전체회의에서 북미 고위급 회담 연기 이유에 대한 윤상현 자유한국당 의원의 질문에 대해 “서로 일정이 분주하니 (회담을)연기하자는 북한의 설명이 있었다고 미측으로부터 통보를 받았다”고 말했다. 그는 이정현 무소속 의원의 관련 질의에 대해서도 “미 측에서 고위급 회담 연기를 발표하면서 폼페이오 국무장관이 나중에 열릴 것이라고 얘기를 했다”며 “북미 간 시기적으로 조정을 하고 있다”고 전했다. 이어 “폼페이오 장관도 나중에 열린다고 공개적으로 얘기했다”며 “회담 연기에 대해 과도하게 의미를 부여하는 것은 지나친게 아닌가 싶다”고 부연했다. 또한 “우리로서도 미국의 회담 준비상황에 대해 여러 레벨을 통해 파악하고 있고 남북채널을 통해서도 이번에 연기된 (북미) 협의가 조속히 재개될 수 있도록 촉구해나가도록 할 것”이라고 강조했다.강 장관은 미측으로부터 통보받은 시점에 대해 묻는 정병국 바른미래당 의원의 질문에 대해서는 “정확한 시점에 대해서는 말씀드리기 어렵지만 사전에 통보받았다”고 밝혔다. 그러면서 “한미간에는 여러 소통 채널이 있는데, 이를 통해 사전에 (통보를) 받았다”며 “오찬 행사중 이도훈 외교부 한반도평화교섭본부장으로부터 급히 연락을 받았다”고 설명했다. 이와 함께 현 단계에서는 북한의 제재 완화를 논의할 때가 아니라는 입장도 전했다. 강 장관은 “비핵화가 불가역적으로 진전이 된다 하는 상황에서 제재완화 논의가 가능하지 않겠는가 하는 입장”이라며 “지금으로서는 그럴 단계가 아니라는 게 정부의 입장”이라고 말했다. 또한 “미국과는 지난주 스티브 비건 대북정책특별대표가 다녀가면서 비핵화 조치, 미국의 상응조치에 대해 깊은 논의를 진행 중”이라며 “이와 관련해 북미 간 협상 테이블에 올라올 사항이라 구체적으로 말하기는 곤란하다”고 덧붙였다.(서울=뉴스1)        "
"태영호 “리선권 냉면 발언, 사과 요구 지나쳐…김정은도 알 것”",2018-11-08 11:51,정치,,"태영호 전 영국주재 북한 공사가 리선권 북한 조국평화통일위원장의 ‘냉면 발언’ 논란과 관련해 “이번 사건을 놓고 북한으로부터 공식 사죄를 받아내거나 리선권의 인사조치를 요구하는 것은 지나치다고 본다”고 말했다. 8일 태 전 공사의 개인 블로그인 ‘태영호의 남북행동포럼’에 따르면 그는 ‘리선권 국수 목구멍발언, 민족화해 입장에서 바라보자’라는 제목의 글에서 이같이 주장했다. 태 전 공사는 “리선권의 냉면발언을 처음 들었을 때, 과연 사실일가, 사실이라면 좌시하면 안된다고 생각했다”며 “리선권이 남측 대기업 총수들 앞에서 그런 발언을 하였다면 전후 맥락에 관계없이 좀 오만무례한 감이 있는 것이 사실이기 때문이다”고 지적했다. 그는 “그러나 북한에서 ‘밥이 목구멍으로 넘어가는가’라는 발언은 부모가 자식들에게, 상급이 하급에게 늘쌍 하는 말”이라며 “이런 말을 듣고 불쾌해하거나 기분 나빠하는 사람도 별로 없다”고 전했다. 그러면서 “더욱이 리선권이 우리 대기업총수들과 국수를 함께 먹으려 왔다는 상황을 고려할 때, 사전에 계획된 ‘의도적인 도발’은 아니라고 본다”고 말했다. 그는 “북한도 간부들에게 주민들 앞에서 항상 언어예절을 잘 지킬 것을 요구하고 있으며 리선권도 좋은 의도에서 웃자고 한 말일 수 있다”고 진단했다. 태 전 공사는 “도발 의도가 없는 우발적인 문제들까지 사사건건 공식 사죄나 인사조치를 요구한다면 잘못을 범한 사람을 대중앞에서 비판시키고 처벌하는 북한노동당식, 중국공산당 홍위병식”이라고 지적했다. 그러면서 “한반도의 통일은 북한사람들의 인식변화부터 시작되며 그러자면 북한의 잘못을 깨우쳐주는 것부터 시작해야 한다”고 말했다. 그는 “리선권의 냉면막말이 논란이 된 것을 김정은(국무위원장)도 다 알 것”이라며 “리선권 본인도 자극을 받았을 것이며 앞으로 남북회담에서 주의할 것이다”고 덧붙였다. 국회 외교통일위원회 소속 정진석 자유한국당 의원은 지난달 29일 통일부 국감에서 “(리선권 위원장이) 지난 9월 정상회담의 특별수행원으로 동행한 우리 측 기업 총수들에게 ‘냉면이 목구멍으로 넘어가느냐’라고 핀잔을 줬다”고 주장해 논란이 일었다. 이와 관련, 정의용 청와대 국가안보실장은 지난 6일 국회 운영위원회 국정감사에서 “남북관계 발전이나 비핵화 목표달성, 한반도 평화정착을 위해서는 남북의 당국자들이 상대방을 존중하고 이해하는 노력들도 많이 해야한다”고 말했다.    정 실장은 ‘리선권 위원장의 발언으로 남북관계 전반을 판단하면 안된다는 데 동의하지만 국민들이 참을 수 있는 수위를 넘은 발언이라 생각한다’는 윤재옥 자유한국당 의원의 지적에 대해선 “그것이 사실이라면 우리 국민 감정에 반하는 것이라 생각한다”고 답했다. (서울=뉴스1)   "
미세먼지 주범 경유차 ‘퇴출’ 수순…정부 ‘클린디젤’ 인센티브 폐기,2018-11-08 11:32,사회,,"정부가 ‘클린디젤’ 정책을 공식 폐기하고 경유차 저감에 나선다. 노후 트럭을 폐차하고 LPG 1t 차량을 구매하는 운전자에겐 추가로 400만원을 지원한다.또 내년 2월부터 고농도 미세먼지 발생 시 발령하는 비상저감조치를 전국 시·도는 물론 민간으로 확대한다. 공공부문에선 하루 전부터 예비저감조치를 시행해 차량 2부제 등 선제 대응에 나선다.정부는 8일 오전 이낙연 국무총리 주재로 제56회 국정현안점검조정회의를 열고 ‘비상·상시 미세먼지 관리 강화대책’ 등을 논의했다.우선 미세먼지 원인물질을 줄이는 상시 저감대책으로 이명박 정부 당시부터 저공해 경유차에 각종 감면혜택을 주는 ‘클린디젤’ 정책을 폐기한다. 저공해 경유차 인정기준을 삭제하고 저공해 자동차로 인정받은 경유차 95만대에 부여하던 주차료·혼잡통행료 50% 감면 등 인센티브를 폐지한다.이미 ‘클린디젤’ 용어는 법률에서 삭제된 상태다. 여기에 ‘수도권 대기질 개선에 관한 특별법’상 3종 저공해 자동차(1종-전기차, 2종-하이브리드차)에서 배출가스 저감장치를 부착한 저공해 경유차를 제외하는 게 이번 대책의 골자다. 저공해 경유차 인정 유효기간을 설정하고 인센티브 혜택은 내년 중 수도권법을 개정해 폐지한다.유제철 환경부 생활환경정책실장은 “수도권의 경우 미세먼지에서 가장 높은 비율을 차지하는 게 경유차나 휘발유차로 인한 이동오염원인데 디젤차가 휘발유차보다 9배 이상 미세먼지 유발효과가 있다”며 “정부가 전체적으로 경유차를 저감하는 쪽으로 해 나가면서 내년 초에 로드맵을 발표하겠다”고 말했다.이에 맞춰 공공기관에선 친환경차 구매비율을 2020년까지 100%로 높이고 2030년까진 대체차종이 없는 경우를 제외하곤 경유차를 제로화한다.LPG 차량 확대를 위해 현재 노후 경유 트럭을 폐차할 때 지원하는 조기폐차 보조금 최대 165만원에 더해 추가로 400만원을 지원한다. 내년부터 180억원을 들여 택배차량 등 소형 전기화물차 1000대를 보급한다. 단위 배출량이 승용차 대비 3~60배 높은 중·대형 화물차의 폐차 보조금도 현행 440만~770만원 수준에서 현실화한다.대중교통 편의 증진을 위해 정기권 10% 할인 혜택이 있는 광역 알뜰교통카드를 올해 세종과 울산·전주에 이어 내년 광역시와 수도권으로 확대한다. 대중교통망 확충 대책으로 광역급행버스를 올해 34개로 확대한 데 이어 권역별 BRT 종합계획을 추진한다.석탄화력발전소 미세먼지 저감을 위해 가동 중지(셧다운) 대상을 조정하고 급전순위와 연료세율에 환경비용을 반영한다.노후 발전소 5기를 중심으로 했던 봄철(3~6월) 셧다운 대상은 실제 배출량이 많은 곳 중심으로 조정한다. 이를테면 올해까지는 30년 이상 노후발전소인 삼천포 1·2호기 대신 내년부턴 단위배출량이 약 3배인 삼천포 5·6호기가 가동 중단 대상에 포함된다. 이에따라 올 연말 폐기되는 영동 2호기를 제외한 4기가 미세먼지가 심한 내년 봄 가동을 멈춘다.내년 4월엔 경제비용 외 약품처리비 등 환경비용을 반영해 급전 순위를 결정토록 하고 연료세율을 조정한다. 석탄발전소의 야외 저탄장도 단계적으로 옥내화해 발전소 주변지역의 날림먼지를 줄인다.이날 회의에서 정부는 고농도 미세먼지가 발생하면 이를 재난상황에 준해 선제적으로 대응하기로 했다.현재 13개 시·도별로 발령되는 비상저감조치는 내년 2월15일 미세먼지 특별법 시행에 따라 전국으로 확대된다. 여기에 민간부문도 차량운행 제한, 배출사업장·공사장 조업단축 등을 의무적으로 이행해야 한다.선제적인 대응을 위해 비상저감조치 발령 가능성이 높은 경우 수도권 공공부문부터 도로청소, 차량 2부제 등 예비저감조치를 시행한다.수도권에선 긴급 감축조치로 5등급 경유차 운행을 제한하고 석탄화력발전 80% 상한제약(석탄 35기, 중유 7기), 사업장·공사장 조업 조정, 드론 활용 집중단속 등이 진행된다.중국 등 국외 유입 미세먼지에 대한 대응도 한층 강화한다.올해 6월25일 개설된 미세먼지 분석 실험실 등 한·중 환경협력센터 인프라를 2020년까지 구축하고 대기환경 정책 교류, 배출원 공동조사 등 중국의 배출현황 파악을 위한 분야별 연구·협력사업을 진행한다.중국 지방정부와 협력해 중국 내 전 산업 분야 대기오염방지시설에 한국 환경기술을 적용하는 식으로 대기오염물질 배출 저감 실증 협력사업을 강화한다. 올해는 강소성(6월), 산동성(9월), 산서성(10월)과 협력회의를 개최하고 양해각서를 체결한 바 있다.지난달 조기 출범한 동북아청정대기파트너십(NEACAP)을 통해 중국은 물론, 일본, 북한, 몽골, 러시아 등과의 다자협력 체계를 구축하고 한반도의 대기질 관리를 위해 향후 남북관계 여건에 따라 남북 공동의 조사·연구 및 협력사업을 모색한다.유제철 실장은 “청정대기파트너십을 한국 정부가 주도해서 이끌어나가면서 다자 간 협력을 통한 미세먼지 저감에도 다각적으로 노력을 하도록 하겠다”며 “남북관계 여건에 맞추어서 남북 간에 미세먼지와 관련된 대기질과 관련된 공동조사연구협력사업 꾸준히 추진하겠다”고 말했다.﻿【세종=뉴시스】        "
