제목,날짜,분류,기자,본문
[Photo] Inter-Korean film festival to be held in Gangwon in August 2019,2018-11-10 15:11,North Korea,,"The Pyeongchang International Peace Film Festival, hosted in the name of peaceful inter-Korean relations, will take place next August in Pyeongchang and Gangneung, Gangwon Province. Organized by the Gangwon Film Commission in coordination with the Ministry of Culture, Sports and Tourism and the Korean Film Council, the festival is part of a project to commemorate 100 years of Korean filmmaking. The event will mark the first inter-Korean film project since the screening of a North Korean film in the Busan International Film Festival during the term of former President Roh Moo-hyun."
South and North to each preserve 1 of 11 GPs scheduled for probational dismantlement,2018-11-09 18:10,North Korea,Yoo Kang-moon,"South and North Korea have agreed to each preserve one of the 11 guard posts in the demilitarized zone (DMZ) they had agreed to completely dismantle by the end of this month. South Korea has selected a guard post along the East Sea and North Korea a guard post in the central area.

“During the 10th general-level military talks and correspondence, the South and North Korean militaries shared the sense that some guard posts are worthy of preservation and agreed to each preserve one of the 11 guard posts that are supposed to be dismantled on a trial basis,” South Korea’s Ministry of Defense announced on Nov. 8.

According to the Comprehensive Military Agreement (CMA), signed on Sept. 19, the two sides are supposed to remove firearms, equipment and troops from eleven guard posts in the DMZ on a trial basis and then completely dismantle the facilities by the end of this month.

South Korea selected a surveillance guard post on the East Sea in light of its historical significance and preservation value and the possibility of its peaceful use in the future. This guard post is the closest to the East Sea and was the first built after the armistice agreement was reached in 1953.

“This guard post is regarded as having historical preservation value; a very great potential for peaceful applications because of its links to Mt. Kumgang, the East Sea coastline and Kamho Lake; and considerable accessibility because of its proximity to the inter-Korean highway along the East Sea,” the Defense Ministry explained.

The North Koreans also selected a guard post in the central region according to their own criteria.

Since the South and North Korean militaries have agreed to preserve the guard posts in question intact without completely destroying their facilities, they have agreed to continually verify that these facilities are not being used for military purposes.

“The South and North Korean militaries are exploring ways to increase mutual trust and transparency during the probationary dismantlement of guard posts. We’re planning to make every effort to ensure that the probationary withdrawal is complete by the end of December,” the Defense Ministry said.

“We intend to complete the removal of troops and firearms by Nov. 10 and to also work on dismantling several of the guard posts. Our plan is to dismantle the guard posts using excavators rather than explosives in light of safety and environmental concerns,” a Ministry official said.



On Nov. 8, prior to the two sides’ agreement, a civic group held a press conference asking for the dismantlement of the observation guard posts to be postponed and for the two sides to deliberate ways to preserve them. This group was organized to advocate converting the guard posts from outposts of war and confrontation into places for learning about peace and life.

“During the process of unification, Germany completely dismantled the Berlin Wall, but now that more than twenty years have passed, a project is underway to restore this as a historical site. Sites that do not impose major stress on the natural ecosystem ought to be preserved as civic spaces, as places for learning the lessons of war and for feeling the preciousness of life and peace,” the group said in a joint statement.

This statement was signed by 18 civic groups, including the Conflict Resolution and Peace Center, Green Korea, and Korea DMZ Peace-Life Valley; Rep. Ha Tae-gyeong, a lawmaker with the Bareunmirae Party; Rep. Lee Won-uk and Rep. Lee Won-uk, lawmakers with the Democratic Party; and Rep. Shim Jae-cheol, lawmaker with the Liberty Korea Party.

By Yoo Kang-moon, senior staff writer

Please direct comments or questions to [english@hani.co.kr]"
[News analysis] Trump reconfirms plan to have 2nd summit with Kim Jong-un early next year,2018-11-09 18:08,North Korea,Noh Ji-won,"US President Donald Trump reaffirmed on Nov. 7 that he plans to have a second bilateral summit early next year with North Korean leader Kim Jong-un. He also announced plans to reschedule high-level North Korea-US talks that had been announced for Nov. 8 before being abruptly postponed a day beforehand. With the midterm elections no longer restricting his range of options as president, Trump appears to be reaffirming his commitment to keeping the momentum going in North Korea-US dialogue.

When asked about the schedule for the second summit with Kim during a press conference at the White House the day after the midterm elections, Trump replied, “Sometime early next year.”

“We’re going to change it [the meeting schedule] because of trips that are being made. We’re going to make it at another date,” he explained about the postponed high-level meeting in New York.

“That meeting is going to be rescheduled,” he said later.

Trump also repeatedly stressed that the US was “in no rush” in its negotiations with Pyongyang and that “the sanctions are on.”

“Now, I’d love to take the sanctions off. But they [North Korea] have to be responsive, too. It’s a two-way street,” he said in a message calling on Pyongyang to take action. Indeed, Trump repeated the words “the sanctions are on” four times and “no rush” seven times, in what could be read as a kind of pressure campaign against North Korea.



The postponement of the high-level talks was also confirmed to have been requested by Pyongyang. During a plenary session of the National Assembly Foreign Affairs and Unification Committee on Nov. 8, Minister of Foreign Affairs Kang Kyung-wha said Washington had “explained to us that it had received a notification from the North asking for the postponement.”

“The US told us that there has been an explanation from the North that they wanted a postponement because their mutual schedules were so busy,” Kang explained.

North Korea reportedly pushed strongly for a meeting between Workers’ Party of Korea Vice Chairman Kim Yong-chol and Trump to resolve the sanctions issue, eventually postponing the talks after no date could be set for the meeting due to Trump’s planned visit to Europe on Nov. 9. Analysts also interpreted the postponement as Pyongyang sending the message that the North Koreans are “not pushovers.”

The question of when the high-level North Korea-US talks are rescheduled now looks set to be a major signal for the negotiations’ prospects. Administration officials and experts predicted the talks would be resumed within the year.

“President Trump said they’d be holding a North Korea-US summit early next year, and the North Korea-US summit is one of the agenda items at the high-level talks,” noted a senior South Korean government official familiar with the situation in North Korea-US relations, who concluded that the likelihood of the talks happening within 2019 is strong.

“The fact that the US said that much should be taken as meaning there has been some considerable progress in behind-the-scenes dialogue with North Korea,” the official added.

But with a large gap to bridge between North Korea’s demands for immediate loosening of sanctions and the US’ insistence on denuclearization before sanctions are lifted – along with growing internal frustration in North Korea over sanctions impeding progress in economic development – some observers worry the momentum could end up drained if the talks keep getting postponed over the two sides’ failure to meet in the middle. Others have suggested the possibility of reaching a compromise is being undercut by the US’ failure to state a clear standard for the kind of denuclearization progress needed from North Korea before it will loosen sanctions.



Delays in the high-level North Korea-US talks also affect the implementation of agreements between South and North Korea. Matters such as a joint survey of the Gyeongui (Seoul-Sinuiju) railway line and full-scale repairs and renovation of the reunion site for divided families are tied to the sanctions currently imposed on North Korea. Administration officials have said that while the sanctions have some effect, the situation does not bar them from implementing the terms of the inter-Korean agreements.

But with the US insisting that inter-Korean relations should not “get ahead of things” before North Korea and the US agree on a concrete denuclearization process through their high-level talks, some are suggesting it will become more difficult to implement the inter-Korean agreements.

“Inter-Korean cooperation is definitely constrained when the US isn’t cooperating,” said Professor Kim Joon-hyung of Handong Global University.

“It’s a difficult situation where we ultimately have to decide how the government is going to achieve progress, and whether South Korea can play a leading role through things like a reciprocal visit by Kim Jong-un,” he added.

By Noh Ji-won, staff reporter, and Hwang Joon-bum, Washington correspondent

Please direct comments or questions to [english@hani.co.kr]"
[Correspondent’s column] China forfeited its status as a state belligerent in Korean War,2018-11-09 18:04,North Korea,Kim Oi-hyun,"On Oct. 8, 1950, a document handwritten by Mao Zedong was sent to the leaders of China’s military, including Peng Dehuai, Gao Gang and Hong Xuezhi, ordering them to send troops to the Korean War. An early draft of this document contains numerous traces of revision. One interesting change was in the name of the army that was sent to Korea, called the People’s Volunteer Army (PVA).

Mao originally wrote “支援軍,” meaning “supportive army,” but replaced that with “志願軍,” meaning “volunteer army. The two words are homonyms, with the basic pronunciation of “zhiyuanjun,” though the tones are different. Considering that this correction was made in four of the six places where the word “volunteer army” appears, it doesn’t appear to have been merely an accident.

This document was featured in an exhibition in Beijing on June 2011, on the 90th anniversary of the Communist Party of China (CPC). Chinese newspapers that covered the story of the exhibition reported on the reason the name had been changed. Mao and the Communist Party had originally wanted the name of the army to reflect the fact that China was helping North Korea on a governmental level, but the name was changed after Huang Yanpei, one of China’s founding fathers and a member of the China Democratic League (rather than the Communist Party), argued that this was inappropriate. Hwang suggested that the army should have a non-governmental quality since the US might declare war on China if China supported North Korea with its regular army.

In light of this background, finding the homonym “志願” was a stroke of genius. There is a rival theory that the troops were voluntary to begin with and that the name was never changed, but the idea that Huang suggested the name change is widespread in China. Whatever the case, even though China’s supreme leader Mao Zedong appointed Peng Dehuai as commander and ordered him to swiftly reorganize the regular troops on the northeastern border into the “People’s Volunteer Army” and send them into battle, China effectively claimed that people were going to war on a voluntary and individual basis rather than on the orders of the state.

China also claimed that the PVA was not a state army during the debate about withdrawing foreign militaries that was repeatedly brought up during the negotiations about ending the Korean War. If the UN forces withdrew, the Chinese said, they would do their best to persuade the PVA to go home, too. Peng Dehuai even signed the armistice agreement on July 27, 1953, as “commander of the People’s Volunteer Army.” When the PVA withdrew from North Korea in 1958, they were absorbed into the Chinese regular army. Though there was a continuing debate about how these soldiers were treated, there were no more actions taken under the name of the PVA command. That was because, at least officially, this volunteer organization had dispersed.

While announcing its intention to take part in building a peace system on the Korean Peninsula, China has brought up its status as a signatory to the armistice agreement. But if we take the PVA’s identity seriously, China explicitly forfeited its status as a belligerent from the very beginning of the war. For China to now claim that the state participated in the war could raise the controversy about “interfering in domestic affairs” that it had initially feared. This also contradicts the position that China frequently emphasizes these days about never interfering in other country’s domestic affairs.

China’s concerns are also evident in the Sino-North Korean Mutual Aid and Cooperation Friendship Treaty, which was concluded in 1961. The second clause of the treaty promises automatic engagement if either side is invaded, which certainly sounds like a military alliance. But China later adopted the position that it had forged a partnership, not an alliance, and has criticized the US’ alliances with South Korea and Japan and the North Atlantic Treaty Organization (NATO) as relics of the Cold War. China no longer speaks openly about its alliance with North Korea, and it would be awkward to do so.

Though China’s status as a party to the Korean War and its alliance with North Korea are key issues related to the end-of-war declaration and the conversion to a peace regime, China’s unclear position has become an obstacle in various respects. But this is also a topic that China is unlikely to bring up on its own. Perhaps it would be best for South Korea to officially recognize China’s status as a party to the armistice, the end-of-war declaration and the peace regime while simultaneously emphasizing that the China-North Korea alliance provides balance to the South Korea-US alliance.

By Kim Oi-hyun, Beijing correspondent

Please direct comments or questions to [english@hani.co.kr]"
[Photo] Kremlin hopes for Kim Jong-un to visit Russia in 2019,2018-11-09 17:59,North Korea,,"The Kremlin has announced that it hopes for North Korean leader Kim Jong-un to visit Russia next year. Reuters reported on Nov. 7 that Kremlin aid Yuri Ushakov said, “I hope this visit will be possible next year.” In May, Russian President Vladimir Putin sent Foreign Minister Sergey Lavrov to Pyongyang to invite Kim to the Easter Economic Forum, which was held in Vladivostok on Sept. 11-13, but Kim did not attend the event."
Trump confirms 2nd summit with Kim Jong-un in early 2019,2018-11-08 17:40,North Korea,Hwang Joon-bum,"On Nov. 7, US President Donald Trump reconfirmed that he would be holding another summit with North Korean leader Kim Jong-un at the beginning of 2019. Trump also said that the high-level talks between US Secretary of State Mike Pompeo and North Korean Kim Yong-chol, vice chairman of the Workers’ Party of Korea (WPK) and director of the WPK United Front Department, which had been abruptly canceled one day before they were supposed to take place on Nov. 8, would be rescheduled.

When Trump was asked by a reporter during a press conference at the White House the day after the midterm elections on Nov. 6 about the timing of his second summit with Kim, Trump said, “sometime early next year.” 

In regard to the plan for the high-level North Korea-US talks in New York scheduled for Nov. 8, whose cancelation had been announced by the US State Department on midnight, Trump said, “We’re going to change [the schedule of the high-level talks] because of trips that are being made. We’re going to make it at another date.” Trump went on to say that “that meeting is going to be rescheduled.”

At midnight on Nov. 7, the US State Department announced that the high-level talks scheduled for Nov. 8 “will now take place at a later date. We will reconvene when our respective schedules permit.” 

According to one source, North Korea had pushed hard for Kim Yong-chol to have a meeting with Trump in order to reach a solution on the sanctions issue. When the North still found itself without a definite answer from the US on Nov. 7, the source said, it finally asked for the meeting to be delayed. Trump is reportedly planning to depart for France on Nov. 9 to attend an event on Nov. 11 to commemorate the 100th anniversary of the end of World War I.

Trump’s statement that he will reschedule the high-level talks with the North Koreans and hold a second summit with Kim at the beginning of next year is being taken as confirmation that he hopes to preserve momentum in North Korea-US talks.



When US State Department Deputy Spokesperson Robert Palladino was asked during the regular briefing on Nov. 7 why the delay of the high-level North Korea-US talks was announced in the middle of the night, he said, “as soon as the information that we had was confirmed, we decided to release it as early as possible.” 

Palladino also fielded a question about why the meeting was delayed. “Schedules change all the time,” he said. “We’re dealing with purely a scheduling issue.” Palladino added that the US is “in a pretty good place” with North Korea.

During his press conference, Trump once again emphasized that there’s “no rush” on the North Korea issue because “the sanctions are on.”

“The sanctions are on. The missiles have stopped. The rockets have stopped. The hostages are home. The great heroes [remains of American soldiers] have been coming home,” Trump said. “But I’m in no rush.”

“Now, I’d love to take the sanctions off. But they have to be responsive, too. It’s a two-way street,” Trump said. He repeated the phrase “the sanctions are on” seven times and the phrase “no rush” four times in the press conference.

By Hwang Joon-bum, Washington correspondent

Please direct comments or questions to [english@hani.co.kr]"
N. Korea-US high-level talks postponed just a day after State Department announced them,2018-11-08 17:28,North Korea,Noh Ji-won,"High-level talks scheduled to take place on Nov. 8 between US Secretary of State Mike Pompeo and North Korean Workers’ Party Vice Chairman Kim Yong-chol were abruptly postponed on Nov. 7. Observers are speculating on the reasons for the meeting’s sudden postponement just a day after its official announcement by the US State Department.

In a Nov. 8 statement, State Department spokesperson Heather Nauert said, “Secretary of State Michael R. Pompeo’s meeting with officials from the Democratic People’s Republic of Korea, scheduled for this week in New York, will now take place at a later date.”

“We [the US and North Korea] will reconvene when our respective schedules permit. Ongoing conversations continue to take place,” the statement continued.

While US and North Korean authorities did not disclose the reasons for the talks’ postponement, experts said the chief reason was the two sides’ failure to reach a compromise on the matters of sanctions. While Washington continues adhering to the position that denuclearization must occur before sanctions are lifted, Pyongyang has recently become vocal in its disgruntlement with the sanctions and begun loudly demanding “simultaneous measures” with denuclearization and loosening of sanctions.



Against this backdrop, North Korea had been urgently demanding a meeting between Kim Yong-chol and US President Donald Trump to resolve the sanctions issue and finally requested the talks’ last-minute postponement after failing to receive a definite response from the US by Nov. 7, a source reported.

Kim’s delegation reportedly booked and cancelled flights from Beijing to New York multiple times on Nov. 6 and 7 as it continued waiting for an answer from the US. The move suggests Pyongyang views the US as unlikely to adopt a forward-thinking stance on loosening or lifting sanctions without a “decision” by Trump. But the US reportedly balked at the idea of a meeting, citing Trump’s scheduled visit to Europe beginning on Nov. 9.

Within North Korea, discontent is growing over the failure to produce visible economic results due to sanctions – despite the denuclearization measures that have been initiated. An example was seen in remarks attributed to leader Kim Jong-un in the Nov. 1 edition of the Rodong Sinmun newspaper, where he accused “hostile forces” of “foolishly rampaging with dastardly sanction machinations to block improvements and development in our people’s welfare.”

Institute for National Security Strategy senior research fellow Cho Sung-ryul said North Korea “may have felt there was no point in holding talks when the US is insisting it can’t relax sanctions as North Korea is demanding until denuclearization is complete.”

“Since failure to produce results even when high-level North Korean and US figures meet could sap the momentum for dialogue, they may have decided it would be better to push the date of the talks back until there has been some preliminary coordination toward producing something both sides can be happy with,” Cho suggested.

Professor at Handong Global University Kim Joon-hyung said Pyongyang “may have determined it would not yet be capable of generating results with these talks.”

“There will ultimately be talks between North Korea and the US, whether they’re high-level or working level,” Kim predicted, adding that it was “a hopeful sign that the US midterm elections are now over and President Trump has more room to maneuver.”

A Ministry of Foreign Affairs senior official noted “numerous instances in the past of North Korea-US talks being scheduled and then postponed.”

“We don’t need to get in a state every time,” the official suggested.

“The US has announced that it plans to reschedule, so the dialogue will continue,” the official added.

US State Department Special Representative for North Korea policy Stephen Biegun reportedly communicated related details to South Korean Ministry of Foreign Affairs Special Representative for Korean Peninsula Peace and Security Affairs Lee Do-hoon ahead of the official announcement of the talks’ postponement.

By Noh Ji-won, staff reporter

Please direct comments or questions to [english@hani.co.kr]"
Trump’s Korea policy unlikely to change after US midterm elections,2018-11-08 17:26,North Korea,Park Min-hee,"Now that the US midterm elections have concluded with the Republicans holding the Senate and the Democrats taking the House of Representatives, what effect will this have on US President Donald Trump’s policy toward the Korean Peninsula?

The view of the majority of experts is that the outcome of this election will not have a big effect on the Trump administration’s Korean Peninsula policy. First of all, American foreign policy is set by the president and the executive branch, with the Senate Committee on Foreign Relations and the Senate Committee on Armed Services also playing an important role. Since the Senate remains in the hands of the Republican Party, the Democratic House’s impact on foreign policy will be limited.

The fact that Trump is likely to concentrate his efforts on his reelection campaign after the “predestined defeat” in the midterm elections is itself a “green light” for negotiations on North Korea’s nuclear weapons. In the presidential election, unlike the midterms, the assessment of foreign policy plays an important role.

Since Trump pulled out of the Iranian nuclear deal, which was the signature diplomatic achievement of his predecessor, Barack Obama, and fully reimposed economic and financial sanctions on Iran, he needs to compensate by making some diplomatic achievement of his own, and his most likely option is North Korea.

“American experts and the mainstream press have attacked Trump for withdrawing from the nuclear deal even though Iran never broke it and continue to make comparisons to Trump’s negotiations on the North Korean nuclear issue. This gives Trump an even greater need to get some diplomatic results in the North Korean negotiations to make up for the Iranian nuclear deal,” said Lee Hye-jeong, a professor at Chung-Ang University and an expert on American politics.

The Trump administration is likely to reschedule the postponed high-level talks with North Korea to continue the momentum for dialogue and to push for progress in the nuclear talks during the second summit with the North early next year. Trump could then cite this as a major accomplishment when he runs for reelection two years hence.



The Democratic Party, which has regained a majority in the House of Representatives after eight years, has been critical of Trump’s approach to negotiations on the North Korean nuclear issue. But the Democrats are unlikely to either completely sabotage the negotiations or to switch to active support. The party has only raised doubts about Trump’s negotiating methods and North Korean leader Kim Jong-un’s commitment to denuclearization without offering a clear alternative in regard to denuclearization.

The most likely scenario is one in which the Democrats slow down the negotiations by requesting related documents and holding frequent hearings in the House to have government officials testify about the negotiations. But they’re likely to try to maintain balance by avoiding the appearance of outright blocking the Trump administration’s diplomatic attempts to achieve denuclearization.

In an interview with Reuters on Nov. 7, Rep. Eliot Engel, the New York Democrat who is slated to lead the House Committee on Foreign Affairs, said he didn’t oppose negotiations with North Korea per se: “I think it’s good to have some kind of a dialogue with them. But we shouldn’t be deluded in thinking that they’re going to have any major changes.



There are two well-known examples in American political history of US Korean Peninsula policy changing sharply after a midterm election. In 1994, the Democratic administration under President Bill Clinton reached an agreement with North Korea in Geneva that defused the first North Korean nuclear crisis, but that agreement ran into trouble when the Republicans took control of both houses of Congress in the midterm elections that year. Later, Republican President George W. Bush denounced North Korea as part of the “axis of evil,” but when his party was defeated in the midterm elections in 2006, he took a softer line on North Korea and even discussed formally ending the Korean War and signing a peace treaty with the North.

Will history repeat itself once again this time? “Even after the loss in the midterm elections, the Clinton administration moved forward with the Perry Process, which was based on engagement toward North Korea, and the Bush administration’s change in policy toward the North was affected not only by the defeat in the midterms but also by public frustration with the worsening military conditions in Iraq.

Especially considering that the Trump administration represents a very special case to which the normal rules of American politics don’t apply, it wouldn’t be right to infer from these examples that the US’ Korean Peninsula policy will change,” Lee Hye-jeong said.

By Park Min-hee, staff reporter

Please direct comments or questions to [english@hani.co.kr]"
Trilateral consultation group of military officers agree to draft join work rules for JSA guards,2018-11-07 17:38,North Korea,Yoo Kang-moon,"On Nov. 6, a trilateral consultation group involving military officials from South and North Korea and from the UN Command held its third meeting at Freedom House, on the South Korean side of Panmunjom, and agreed to draft joint work rules for guards before the Joint Security Area (JSA) at Panmunjom is opened up to visitors. The actual details and content of the joint work rules will be decided through correspondence.

On Tuesday, the three sides checked the new guard posts that have been built on the northern and southern entrances to the JSA. South Korea built a new guard post at the end of the “72-hour bridge” on the North Korean side, while the North Koreans built a guard post at the entrance to the South Korean side. In the future, South and North Korean guards will work together on each side.


The three parties in the consultation group furthermore assessed the operational status of surveillance equipment in the JSA and deliberated on ways to share information. Their plan is for free travel for tourists to be guaranteed as soon as the adjustment of the surveillance equipment is complete.

“We’re working to make free travel possible by the end of this month. Free travel will be in place by the end of the year at the latest,” said an official at South Korea’s Ministry of National Defense.
　
By Yoo Kang-moon, seniors staff writer

Please direct comments or questions to [english@hani.co.kr]"
[Photo] 7 N. Korean officials to attend intl. conference in Gyeonggi Province,2018-11-07 17:31,North Korea,,"Seven North Korean officials, including Ri Jong-hyok, director of the National Reunification Institute and deputy head of the Supreme People's Assembly, and Kim Song-hye, head of the Secretarial Bureau of the Committee for the Peaceful Reunification of the Fatherland (CPRK), is set to visit South Korea for an international conference hosted by Gyeonggi Province on Nov. 14-17. Kim Song-hye (in the red circle) was a member of the delegation that accompanied Kim Yo-jong, vice director of the Workers’ Party of Korea (WPK) Central Committee, when she attended the 2018 Winter Olympics in Pyeongchang. The upcoming international conference will focus on measures for peace in Asia and the Pacific region."
