제목,날짜,분류,기자,본문
"[클릭! 한경] '자주국방 버팀목' 防産 쓰러진다…""수출 활로 절실"" vs ""적폐 탓"" 격론",2018-11-09 17:16,IT/과학,최진순,"11월5일자 <‘자주국방 버팀목’이 쓰러진다…방산 매출 1위, 이익률 ‘0%대’> 기사는 국내 10대 방산업체(매출 기준)의 경영 상황을 짚었다. 지난해 10대 방산업체 수출액은 1조4990억원으로 전년(2조2869억원)보다 34.5% 줄었다. 국내 93개 방산기업(정부 지정 업체)의 방산부문 평균 영업이익률은 2010년 7.4%에서 2016년엔 3.4%로 ‘반 토막’ 났다. 2016년 방산업체의 방산부문 평균 공장가동률은 68.6%로 회사 전체 가동률(83.0%)보다 15%포인트가량 낮았다.정부의 규제정책으로 비용 부담을 호소하는 중소 방산업체도 나오고 있다. 내수시장 의존도가 높은 기업은 남북한 화해 분위기로 경영 불확실성도 커지고 있다. “수출 활로를 찾는 범정부 대책이 절실하다” “방산 적폐가 산업 경쟁력을 떨어뜨렸다” 등 네티즌 간 격론이 오갔다.11월6일자 <[김과장 & 이대리] <롤러코스터 증시에 울고 웃는 직장인들> 기사는 주가 그래프에 일희일비하는 직장인들의 이야기를 담았다. 적금을 깨서 주식투자에 나섰다가 낭패를 보거나 아내에게 멋진 선물을 사주겠다고 장담했다가 큰 손실에 전전긍긍한다는 사연이다. “개미가 주식하는 거 아니다. 일해야 한다” “하락장에도 우량주를 선별하려면 공부하시오” 등 일침을 가하는 댓글이 달렸다.최진순 기자 soon69@hankyung.com"
"이해찬 만난 영국 대사 ""대북제재 완화 북이 NPT 언제 참여하느냐 따라 달려""",2018-11-09 16:57,정치,배정철,"사이먼 스미스 주한 영국 대사는 9일 이해찬 더불어민주당 대표를 만나 유엔(UN)의 대북제재 완화와 관련, “북한이 핵확산금지조약(NPT)에 언제 참여하겠느냐 그 일정을 제시해야 유엔 안보리도 동의할 수 있다”고 선을 그었다. 이 대표가 유엔 5개 상임이사국 중 하나인 영국의 대사를 만나 동북아시아 평화프로세스 참여 등 대북제재 완화에 대한 관심을 요구했지만 완곡히 거절한 것이다.이 대표는 이날 국회에서 열린 ‘국민과 함께하는 한반도 신경제지도’에 참석해 “영국이 유엔 안보리 상임이사국이기 때문에 (스미스 대사에게) 한반도·동북아 평화프로세스에 많은 관심을 기울여달라고 했더니 이같이 답했다”고 전했다. 이 대표는 이어 “아마 북쪽에서도 요즘에 남쪽과의 경제교류협력을 상당히 기대하고 있는데 역시 유엔 제재를 어떻게 해결하느냐가 관건”이라면서 “아마 2차 북·미회담이 순조롭게 이뤄지면 그때 가서는 조금씩 문제가 풀리지 않을까 기대하고 있다”고 말했다. 그는 ”신경제지도는 결국 남북경제교류협력을 통해 북쪽 나아가 대륙까지 경제지도를 확장하는 개념”이라며 “우리 정부가 추진하고 있는 신 북방정책·신 남방정책을 포함해서 아시아 전체가 하나의 번영의 축을 이루는 경제구상을 하고 있다”고 설명했다.
	
	이 대표는 앞서 스미스 대사를 만나 “영국은 안보리 상임 이사국이기에 한반도 비핵화를 관리하는 데 아주 중요한 역할을 하는 나라”라며 “(대사)경력을 보니 7개 언어를 하고 핵 전문가라고 하는데 한반도 비핵화를 위해 많은 조언을 주길 바란다""고 당부했다. 스미스 대사는 이에 “(핵과 관련해) 일한 경험이 있다”며 “지금 문재인 대통령이 새롭게 부각한 기회를 어떻게 잘 살려 나갈 것인지, 최적화된 방법을 찾기 위한 생산적인 대화를 이 대표와 하길 희망한다”고 답했다. 이 대표와 스미스 대사는 이후 비공개로 전환해 약 30여분간 환담을 했다.배정철 기자 bjc@hankyung.com"
[시론] 한국형 경영 리더십 전문가 양성이 시급하다 … 이종윤 외대 명예교수,2018-11-09 14:39,경제,한국경제,"[시론] 한국형 경영 리더십 전문가 양성이 시급하다  현재 한해국경제 발전에 가장 큰 걸림돌이 노사 대립이라는 사실을 부인하는 사람은 없을 것이다. 노사관계법이 제대로 정립되지 못해 노사분규에 효율적으로 대처하지 못하는 면이 적지 않지만, 노사문제의 일차적 해결당사자는 누구보다도 기업현장에 있는 경영자와 근로자라는 사실은 부인할 수 없다.주지하는 바와 같이 한국은 수출이 GNP의 50%이상을 점하는 압도적 수출 의존 국가이다. 따라서 대외 경쟁력을 상실한 기업은 생산현장에서 퇴출될 수밖에 없다. 그런 까닭에 노사대립이 격화되어 도를 넘어서면 생산 활동이 원활하지 못해지고, 해당 기업의 대외 경쟁력이 약화돼 퇴출 위기에 놓이게 될 것이다.기업이 퇴출되면 관련 기업의 경영자도 노동자도 모든 것을 잃게 된다는 것은 말할 필요도 없다. 그런 의미에서 특정 기업의 경영자와 노동자는 같은 배에 탄 공동 운명체인 것이다. 결국 기업이 대외 경쟁력을 상실해서 퇴출되는 것을 막아야 한다는 것에 대해 경영자도 노동자도 같은 입장이라는 사실은 분명하다.노사의 극한 대립으로 인해 기업이 파산해서 경영자와 노동자가 다 같이 경제적 어려움에 직면하게 된 경우를 적지 않게 목격하게 된다. 노사 대립이 기업파산으로까지 이어지는 것은 경영자도 노동자도 원하지 않을 것이다. 그럼에도 불구하고 노사의 극한 대립으로 경영파탄으로 가게 되는 것은 경영 리더십의 부재에 기인하는 경우가 적지 않다. 그런 의미에서 지금 한국 기업경영에서 극히 중요하면서도 제대로 인식되지 못하고 있는 경영 리더십을 어떻게 충족시킬 것인가에 대해 적극적인 대응책을 수립해야 될 때라고 생각된다.특정 산업의 특정 기업에서 요구되는 경영 리더십은 단지 일반적인 리더십론에서 제시되는 자질을 충족하는 것에 그치지 않는다. 당해 기업에서 어떠한 과정을 통해 노사 대립이 심화되었는지와 그때그때 본질적인 해결책을 제시하지 못하고 임시 미봉책으로 대처함으로써 오히려 노사문제를 더 복잡하고 더 어렵게 만들어 버렸다는 점을 충분히 이해해야 한다. 나아가서 당해산업의 업종적 성격에서 비롯된 특유의 노사갈등의 측면까지 충분한 이해해야 하겠다.
	
특정 산업의 특정 기업이 직면한 노사 갈등에 효율적으로 대처하기 위해서는 앞에서 설명한 관점에 대한 충분한 파악을 토대로 한 접근이어야 할 것이다. 여기서 '한국형'이란 한국인의 기질, 남북 대립 및 오랜 세월에 걸친 권위적인 정부의 존재로 인한 권위주의적 경영 리더십의 흔적을 경영 리더십 정립 과정에 충분히 고려해야 한다는 의미이다.지금 한국에서 탁월한 경영 리더십이 강하게 요구되는 곳 중 하나가 자동차산업의 현대자동차라고 할 수 있을 것이다. 이대로 방치하면  현대자동차는 장래에 극심한 경영난에 직면할 것으로 보이기에 특단의 대응책이 요구되고, 그 대응책의 핵심적 요소로서 경영 리더십의 확립이 절실하다고 하겠다.현대자동차로서는 리더십의 자질을 갖춘 직원을 선발하여 기술한 내용을 학습시킴과 동시에 직원 속으로 노조 속으로 파고들게 하여 그들의 본질을 파악하게 하고 나아가서 그들을 설득할 수 있는 능력을 배양하여 경영진과 노동조합과의 대립을 적절히 조정할 수 있도록 양성해야 할 것이다.노사문제는 개별 기업의 문제이기는 하나 동 문제가 국민경제에 미치는 영향을 감안할 때 정부가 각별한 문제의식을 갖고 특단적 대책을 마련해야 할 단계에 이르렀다. 정부도 기업경영의 안정, 나아가서 선진경제로 가는 길에 노사안정이 얼마나 중요한지에 대한 인식을 확고히 함으로써 경영 리더십 인력 양성프로그램의 정비 등 노사안정화를 위한 제반 인프라 구축에 각별한 노력을 기울여야겠다. 

이종윤 한국외대 명예교수"
"미 국방관료 “北, 비핵화 계속 거부하면 정권교체 추진 가능”",2018-11-09 11:23,국제,김형규,"자유아시아방송(RFA) 워싱턴 현지 토론회 발언 보도…“다만 현재로선 추진하고 있지 않아”미국은 북한이 완전한 비핵화를 계속 거부한다면 정권교체(regime change)를 정책으로 추진할 수 있을 것이라는 미 현지보도가 나왔다. 미국의 고위 국방부 관리를 인용한 이 보도는 다만 미국은 현재로선 북한의 정권교체를 추구하고 있지 않다고 전했다.이같은 언급은 뉴욕에서 열릴 예정이던 미·북 고위급 회담이 북한 요청으로 갑자기 연기된 나온 것이어서 주목된다. 도널드 트럼프 대통령도 중간선거 뒤 기자회견에서 미·북 정상회담 시기와 관련해 “내년 초 언젠가”라면서도 “서두르지 않겠다”고 말해 북핵 협상 기류가 달라지고 있다는 관측이 제기되고 있다.9일 자유아시아방송(RFA)의 워싱턴발(發) 보도에 따르면 미국 국방부의 한 고위관리는 8일(현지시간) 미 버지니아주 알링턴에서 열린 북한 관련 토론회에서 미국이 대북 제재를 해제할 수 있는 최소한의 조건은 ‘완전한 비핵화’라고 지적하며 이같이 밝혔다.
	
	보도에 따르면 이 고위 관리는 ‘완전한 비핵화는 절대 양보할 수 없는 것’이라며 사견(私見)을 전제로 ‘북한 정권교체는 미국의 현재 대북정책이 아니지만 북한이 완전한 비핵화를 계속 거부한다면 미국은 입장을 바꿔 북한 정권교체를 대북정책으로 삼을 수 있다(Regime change is not on the table. But if North Korea continues to refuse, our policy is going to change.)’고 주장했다.이 고위 관리는 미군 당국은 유엔 대북제재 결의를 이행하는데 많은 시간을 보내고 있다며 특히 공해상에 이뤄지는 북한관련 불법 환적을 다국적 연합군과 단속하는 데 집중하고 있다고 소개했다.그는 이와 함께 100여개의 보병사단, 서울을 조준하고 있는 수천 개의 장사정포, 잠수함 등 북한의 재래식 무기 위협은 여전하다고 지적했다. 이에 따라 미 국방부는 올해 주요 한·미 연합군사 훈련이 유예된 후 훈련취소에 따른 군사적 준비태세 약화 상황을 완화하는 데 역량을 집중하고 있다고 밝혔다.그는 남북한 정상간 판문점선언 이행을 위한 남북 군사합의서에 따라 공동경비구역(JSA)이 비무장화되고 군사분계선 상공이 비행금지구역으로 설정되는 등의 조치들은 남북한 간 신뢰 구축을 위한 긍정적인 조치라고 평가했다. 하지만 한반도에서 유엔군사령부와 주한미군은 반드시 유지되어야 한다고 강조했다.김형규 기자 khk@hankyung.com"
"北매체, 한미 워킹그룹 비난…""남북관계 파탄내려는 美흉심""",2018-11-09 08:44,국제,한국경제,"북한이 9일 선전매체를 통해 비핵화·대북제재·남북협력 등을 논의할 한미 워킹그룹과 한미해병대연합훈련 재개 등을 비난했다.대남 선전용 매체 '우리민족끼리'는 이날 '실무팀 조작놀음은 무엇을 보여주는가'라는 제목의 개인 논평에서 한미 간 워킹그룹을 겨냥해 ""북남 협력사업들에 나서지 못하게 항시적으로 견제하고 제동을 걸며 저들의 비위에 거슬리면 아무 때나 파탄시키려는 미국의 흉심이 깔려 있다""고 밝혔다.매체는 한미 워킹그룹을 ""북남관계 개선 움직임에 대해 대양 건너에서 사사건건 걸고 들며 훈시하다 못해 이제는 직접 현지에서 감시하고 통제하는 기구까지 만들겠다는 미국의 오만한 행태""라고 규정하며 ""북남관계에 미국이 함부로 끼어들어 감 놔라 배 놔라 할 그 어떤 명분도 없다""고 지적했다.그러면서 ""미국은 지금처럼 북남관계에 빗장을 질러대며 간섭과 전횡을 일삼는다면 대중적인 반미기운을 더욱 고조시키는 결과밖에 가져올 것이 없다는 것을 알아야 한다""고 경고했다.매체는 또 ""문제는 미국의 오만무례하고 날강도적인 행위에 맹종맹동하여 스스로 예속의 굴레를 더 깊숙이 뒤집어쓰고 있는 남조선 당국의 수치스러운 처사""라며 남측 당국을 향한 비난의 목소리도 높였다.이어 ""남조선 당국이 진실로 북남관계의 역사를 새롭게 써나가려는 의지가 있다면 미국의 눈치를 볼 것이 아니라 민족자주의 원칙에서 북남공동선언들을 철저히 이행해나가야 한다""고 강조했다.
	
	또 다른 선전매체 '메아리'는 이날 ""남조선 군부 호전광들이 이제는 아예 '정례훈련'이라는 간판 밑에 '한미해병대연합훈련'을 강행해대고 있다""며 한미해병대연합훈련(KMEP·케이맵)도 비난했다.케이맵은 한반도 비핵화와 항구적 평화정착을 위한 남북 및 북미 대화의 원활한 추진을 위해 연기됐다가 6개월 만에 재개됐다.매체는 ""이는 북남사이의 군사합의서에 배치되고 평화와 번영을 지향해나가고 있는 조선반도정세를 엄중히 위협하는 시대착오적인 군사적 움직임""이라고 주장했다.다만 이 글에는 미국을 직접 비난하는 내용은 없었다.한미 간 워킹그룹과 해병대연합훈련 재개 관련 발표가 나온 이후 북한 매체의 반응이 나온 것은 처음이다. 다만 관영 매체가 아닌 선전매체를 통한 개인 명의의 논평이라는 점에서 형식 면에서 수위 조절을 한 것으로 해석된다.한편, 북한 매체들은 미국 뉴욕 현지시간으로 8일로 예정됐던 북미 간 고위급회담이 연기된 것과 관련해서는 별다른 언급을 하지 않고 있다.한경닷컴 뉴스룸"
"'작심발언' 쏟아낸 손경식 경총 회장 ""규제로 기업 옭아매면 우리 경제에 미래 없다""",2018-11-08 17:47,경제,박종관,"손경식 한국경영자총협회(경총) 회장(사진)이 “지주회사 규제 등을 통해 대기업을 옭아매면 한국 경제의 미래를 개척할 수 없다”고 정부의 기업 규제 정책을 정면 비판했다. 지난 2월 경총 회장에 취임한 이후 정부 정책에 대한 직접적인 언급을 자제해온 손 회장이 정부가 기업 경영을 힘들게 하는 규제를 잇따라 내놓자 ‘작심 발언’을 했다는 분석이 나온다.

						손 회장은 8일 서울대에서 법학전문대학원 학생들을 대상으로 한 특별강연에서 “기업인은 회사가 언제 망할지 모른다는 위험을 안고 경영하는 사람”이라며 “정부는 이런 기업인들이 기업가정신을 되찾을 수 있도록 북돋아주는 역할을 해야 한다”고 말했다. 정부의 일자리 대책에 대해서는 “정책적으로 만드는 일자리는 한시적일 수밖에 없다”며 “정부는 (일자리를 창출하려고 하기보다) 기업이 열심히 뛸 수 있는 환경을 조성하는 데 집중해야 한다”고 지적했다.과도한 상속세 부담도 비판했다. 그는 “지나치게 높은 상속세 부담을 이겨내지 못해 가업승계를 포기하고 회사를 파는 중소기업인이 늘어나고 있다”며 “이렇게까지 해야 하느냐는 의문이 든다”고 했다.손경식 한국경영자총협회(경총) 회장(사진)은 8일 서울대에서 한 특별강연에서 한국 경제의 상황을 묻는 학생들의 질문에 “염려할 만한 수준”이라고 답했다. 손 회장은 “경제 상황은 기업 생산량과 투자 내용, 실업률 등을 통해 계산하는데 상황이 좋지만은 않다”며 “경제가 활력을 찾으려면 결국 기업이 활발히 투자해야 하고, 그러기 위해서는 기업이 열심히 뛸 수 있는 환경이 조성돼야 한다”고 강조했다.그는 “우리가 가진 에너지를 경제를 활성화시키는 쪽으로 모아야지 그렇지 않으면 경제가 흔들린다”며 “정부가 여러 측면에서 기업이 활발하게 일할 수 있게 해줘야 한다”고 말했다. 그러면서 정부의 기업 정책을 조목조목 비판했다. 그는 이어 “정부가 주도하는 공공부문 일자리 확대 정책만으론 현재의 고용 부진을 해소하기 어렵다”고 지적했다. 지주회사 규제 강화에 대해서도 “미래를 개척하는 데 도움이 되지 않는다”고 했다.
	

						정부와 여당이 지난 6일 법제화하겠다고 밝힌 ‘협력이익공유제’에 대해서는 “반(反)시장적인 발상”이라고 비판했다. 기업의 사적 이익을 사실상 강제적으로 협력업체와 나누라는 건 시장경제 원리를 부정하는 행위라는 지적이다. 손 회장은 “(협력이익공유제는) 이익을 나누는 기준이 명확하지 않고 수학적으로도 불가능하다”며 “다음주에 공식 반대의견을 내놓을 것”이라고 말했다.협력이익공유제에 대한 반대 목소리는 점차 커지고 있다. 전국경제인연합회와 경총에 이어 대한상공회의소도 이날 “상생협력의 필요성에 대해서는 공감하지만 기업들이 우려하는 현실적인 문제에 대한 보다 신중한 논의와 토의가 필요하다”고 우려를 나타냈다. 대한상의는 공식 논평을 통해 “이익 공유는 기업의 자발적 협력과 합의가 전제돼야 가능한 일”이라며 “대기업과 중소기업 간 공동의 목표 설정과 평가가 현실적으로 가능한지도 함께 살펴봐야 한다”고 지적했다.손 회장은 남북한 경제협력 가능성에 대해 “통일이 되면 시장이 넓어지는 등 유리한 점이 많겠지만 당장 남북 관계가 빠르게 개선되기는 쉽지 않을 것”이라며 조심스러운 반응을 보였다. 그는 “북측이 개성공단에 아주 좋은 인상을 갖고 있어 북한이 본격적으로 개방되면 여기서 새로운 기회가 생길 것”이라며 “다만 핵문제가 심각하게 걸려 있는 데다 북한이 개방하고 싶어도 국제사회에서 요구하는 여러 조건이 있기 때문에 간단하지 않은 측면이 있다”고 설명했다.손 회장은 “과거에는 기업 경영을 하는 이들이 법을 지키지 않고 꼼수를 부리는 일도 많았지만 이제는 점점 달라지고 있다”며 “기업이 더 조심해야 하는 측면도 있겠지만 우리 사회가 좀 더 기업을 존중하면 좋겠다”고 강조했다. 이어 “시대가 변하면서 과거의 규범과 관행이 현재 제도와 충돌하는 일이 많이 생기는데, 잘못된 것은 고쳐야 하지만 이런 점을 감안해줬으면 좋겠다”고 말했다. 그는 “모든 판단은 상식을 기준으로 했으면 좋겠다”는 말로 강연을 마쳤다.박종관 기자 pjk@hankyung.com"
"트럼프 ""곧 만난다""→""중간선거 후""→""내년 초""…점점 밀리는 美·北 회담",2018-11-08 17:34,국제,주용석,"도널드 트럼프 미국 대통령이 7일(현지시간) “북한과의 대화를 서두르지 않겠다”고 말했다. 8일 뉴욕에서 열릴 예정이던 미국과 북한의 고위급 회담이 북한의 취소 통보로 전격 연기된 뒤 나온 발언이다. 2차 미·북 정상회담 시기에 대해서도 “내년 초 언젠가”라고 했다. 트럼프 대통령이 미·북 정상회담 시기를 내년 이후라고 공식화한 건 이번이 처음으로 미·북 대화 속도가 떨어지는 것 아니냐는 관측이 나오고 있다.

						트럼프 대통령은 이날 백악관 기자회견에서 내년 초 김정은 북한 국무위원장과의 2차 정상회담 개최 입장을 확인하면서도 “제재가 유지되고 있기 때문에 (협상을) 서두를 것 없다”고 말했다. 특히 “서두를 것 없다” “급할 것 없다”는 발언을 7차례나 반복했다. 대북제재 해제를 위해서는 북한의 대응 조치가 있어야 한다고 강조했다.트럼프 대통령의 이날 발언은 미 정부의 기존 원칙을 재확인한 측면이 강하지만 미묘한 시점에 나와 주목을 받고 있다.우선 마이크 폼페이오 국무장관과 김영철 북한 노동당 부위원장의 뉴욕 회담이 이날 새벽 전격 취소됐다. 미 국무부는 불과 이틀 전 고위급 회담이 8일 뉴욕에서 열린다고 발표했는데 갑자기 이를 취소해야 해 체면을 구기게 됐다. 스티븐 비건 국무부 대북정책특별대표와 최선희 북한 외무성 부상의 실무협상도 두 달 가까이 감감무소식이다.2차 미·북 정상회담도 자연스럽게 일정이 밀릴 가능성이 크다는 전망이 나오고 있다. 미 정부 인사들의 발언을 추적해보면 정상회담 일정은 계속해서 뒤로 밀리고 있다. 트럼프 대통령은 2차 미·북 정상회담을 처음 공식화한 지난 9월19일만 해도 “김 위원장과 곧 만날 것”이라고 했다. 교착상태에 빠졌던 미·북 관계가 3차 남북한 정상회담을 계기로 돌파구를 찾을 때였다. 당장 10월이라도 2차 ‘트럼프-김정은 회담’이 열릴 것 같은 분위기였다.
	
	하지만 트럼프 대통령은 같은 달 열린 뉴욕 유엔총회 후 “북한과 시간 게임은 하지 않겠다”며 “(비핵화가) 2년이 걸리든, 3년이 걸리든, 5개월이 걸리든 문제가 되지 않는다”고 말해 기류 변화를 시사했다. 이어 지난달 9일엔 “선거 유세가 너무 바쁘다”며 정상회담 시기를 “중간선거 이후”로 미뤄놨다.그로부터 사흘 뒤 존 볼턴 백악관 국가안보보좌관은 “두어 달 뒤 보게 될 것 같다”고 했지만 약 2주일 만에 다시 “내년 1월1일 이후가 될 것”이라고 말을 바꿨다. 트럼프 대통령이 정상회담 시기를 “내년 초 언젠가”라고 밝힌 것도 이런 흐름의 연장선이다. 북핵 협상을 시간에 쫓기지 않고 느긋하게 처리하겠다는 것이다.전날 중간선거에서 민주당이 하원을 장악하면서 트럼프 대통령이 이전처럼 일방적으로 대북 정책을 추진하기 어려워졌다는 분석도 나온다.뉴욕 고위급 회담이 취소된 배경도 관심이다. 트럼프 대통령은 이날 회견에서 다른 일정들 때문이라며 “회담 일정은 다시 잡힐 것”이라고 했다. 미 국무부도 “순전히 일정을 다시 잡는 문제”라고 했고, 강경화 외교부 장관도 이날 “미국이 ‘북측으로부터 서로 일정이 분주하니 연기하자는 통보를 받았다’고 설명했다”고 밝혔다.하지만 CNN은 미국은 정상회담 추진 전 북핵 사찰 허용 같은 조치를 원하는 반면 북한은 제재 완화 조치가 먼저 이뤄지길 바랐고 미국은 그럴 의향이 없었다고 전했다. 미국의 ‘선(先) 비핵화, 후(後) 제재완화’ 원칙과 북한의 ‘선 제재완화’ 요구가 충돌하면서 대화가 취소됐다는 설명이다.워싱턴=주용석 특파원/이미아 기자 hohoboy@hankyung.com"
"한글날 탄생한 한컴그룹, 한글 우수성 알리는 데 앞장선다",2018-11-08 17:02,IT/과학,배태웅,"10월9일 한글날은 세종대왕이 훈민정음을 백성들에게 반포한 날이면서 동시에 한글과컴퓨터(이하 한컴)의 생일이기도 하다. 1990년 10월9일 설립된 한컴은 한글 기반의 오피스 소프트웨어(SW)를 바탕으로 국내 대표 SW 기업으로 자리매김했다. 한컴은 성장의 바탕이 된 한글의 가치를 알리는 범국민적 캠페인을 꾸준히 하고 있다.한컴은 매년 한글날에 한글의 우수성을 알리는 활동을 펼치고 있다. 지난해 한글날엔 한글 관련 학계, 산업계, 지방자치단체 등 다양한 기관과 함께 ‘한글 글꼴 생태계 조성 선포식’을 열고 전라남도가 개발한 ‘푸른전남체’ 배포를 위한 협력을 체결했다. 사용자들이 더 쉽게 새 글꼴을 접하도록 한컴오피스를 한글 서체 유통 플랫폼으로 활용하고 있다.한글의 세계화를 위한 지원활동도 펼치고 있다. 한컴은 교육부, 외교부 재외동포재단 등과 손잡고 해외 한글 교육 기관을 대상으로 한컴오피스를 기증해왔다. 현재까지 러시아, 중국 등 세계 곳곳에 있는 16만여 명의 재외동포들이 혜택을 받았다. 한컴은 한글 관련 단체에 SW 기술을 지원하는 방식으로 한글과 우리말 복원에 앞장서고 있다.
	
	한컴은 지난달 한국학중앙연구원과 협약을 맺고 한글 고문서를 디지털화하는 작업에 관련 기술을 지원하고 있다. 비표준코드로 작성된 옛한글문헌을 표준코드로 변환함으로써 다양한 PC, 모바일 기기에서도 옛한글문헌을 볼 수 있게 했다. 또 남북한 국어학자들이 공동으로 편찬하는 ‘겨레말큰사전’ 작업에도 SW 개발을 지원하고 있다. 향후 겨레말큰사전을 국민에게 알리기 위한 홍보 활동에도 참가할 계획이다.한컴은 2013년 사단법인 ‘우리문화지킴이’를 설립해 문화계승 활동에 힘쓰고 있다. 우리문화지킴이는 문화재 환수 활동 및 발굴, 한국 문화의 우수성 홍보, 전통 문화와 정보기술(IT)의 만남을 통해 한국 고유의 문화를 계승하는 활동이다. 2014년 11월11일부터 훈민정음 해례본을 국보 1호로 지정해달라는 취지의 서명운동을 전개해 12만 명의 서명을 문화재청에 전달하기도 했다. 또 청년국악인 발굴 프로그램인 ‘청춘만발’을 후원해 한국의 전통예술을 알리기 위해 힘쓰고 있다.김상철 한컴그룹 회장은 “국민의 성원으로 성장한 기업인 만큼 사회에 반드시 기여해야 한다는 경영철칙을 지켜왔다”고 말했다.배태웅 기자 btu104@hankyung.com"
"김철호 국립극장장 ""남북 공연예술문화 허브 되겠다""",2018-11-08 16:29,생활/문화,은정진,"“전통예술과 민족예술이라는 공통의 요소를 바탕으로 남북한 공연예술문화의 허브 역할을 수행하겠습니다.”지난 9월 신임 극장장으로 취임한 김철호 국립극장장(사진)이 8일 서울 광화문에서 열린 기자간담회에서 이같이 밝혔다. 김 극장장은 “구체적인 계획이나 과정을 진행한 것은 아니지만 북한과 공동으로 작품이나 무대를 구성할 수 있다고 생각한다”고 말했다. 그는 “2020년 국립극장 개관 70주년에 맞춰 세계 각국 예술단이 참여하는 개관 페스티벌을 기획하고 있는데 거기에 북한 국립예술단도 초청할 수 있다고 본다”며 “남북 예술단원이 공통점만큼이나 다른 점도 많아 상호교류를 통해 선택적으로 동참할 수 있는 방법을 연구하겠다”고 강조했다.
	
	1950년 설립된 국립극장은 전통예술에 기반을 둔 현대적 작품을 개발해 관객과 소통해온 공연기관이다. 국립창극단, 국립무용단, 국립국악관현악단을 중심으로 연간 프로그램을 기획해 시즌제로 공연을 선보이고 있다. 지난 1년 동안 극장장직 공석으로 발생한 공백을 어떻게 메울지에 대해 그는 “극장장 부재중에도 잘해온 사업이 있지만 예술감독 선임이나 시대 환경 변화에 맞는 규정 개선 등 극장장 중심으로 이뤄져야 할 일이 많다”고 했다.국립극장은 과거 전통예술 보존 및 전승 교육의 비중이 컸지만 근래에는 전통예술 현대화와 세계화를 중요 운영 목표로 삼고 있다. 그는 “우리가 지켜야 할 고유 표현방식은 지키되, 서구 연출가와 안무자를 초빙해 그들의 입장에서 어떻게 새로운 예술을 창조할 수 있는지 실험적인 작업을 계속해 나갈 생각”이라고 소개했다.은정진 기자 silver@hankyung.com"
"""DMZ 시범철수 GP 중 1개씩 원형상태 보존""…남북 합의",2018-11-08 13:43,정치,한국경제,"남북이 비무장지대(DMZ)내 각 1개씩의 GP(감시초소)를 완전히 파괴하지 않고 원형상태로 보존하기로 합의했다. 국방부는 8일 ""남북 군사 당국은 제10차 장성급군사회담과 상호 문서교환을 통해 보존 가치가 있는 일부 GP에 대한 유지 필요성에 공감해 시범 철수키로 한 각 11개의 GP 중 각 1개소의 GP 시설물을 보존하기로 합의했다""고 밝혔다. 남북은 각각 판단한 1개 GP를 보존 대상으로 선정했으며, 해당 GP는 병력과 화기, 장비 일체를 철수하되 시설물에 대해서는 완전파괴 대신 원형상태를 유지하기로 했다고 국방부는 설명했다.한경닷컴 뉴스룸"
