제목,날짜,분류,기자,본문
남북 철수키로 한 11개 GP 중 1개씩은 보존…역사적 가치 때문,2018-11-08 16:56,정치,조영빈,"남북이 철수키로 했던 비무장지대(DMZ) 내 11개 GP(감시초소) 가운데 1개씩을 원형 상태로 보존키로 했다. 역사적 기념 가치가 높은 만큼 일부는 남겨두자는 취지다. 국방부는 8일 “남북 군사 당국은 제10차 장성급 군사회담과 상호 문서교환을 통해 보존 가치가 있는 일부 GP에 대한 유지 필요성에 공감해 시범 철수키로 한 각 11개의 GP 중 각 1개소의 GP 시설물을 보존하기로 합의했다”고 밝혔다. 앞서 남북은 9ㆍ19 군사분야 합의를 통해 연말까지 남북 각각 11개의 GP를 철수키로 합의했다. 이후 양측은 실무회담 등에서 보존 필요성이 있는 GP 1개씩을 남겨두기 위한 협의를 벌여온 것으로 알려졌다. 남북은 각각 1개 GP를 보존 대상으로 선정했다. 우리 측은 역사적 상징성 및 보존 가치, 차후 평화적 이용 가능성 등을 종합적으로 고려해 동해안 지역에 있는 1개 GP를 선정했다. 북한 측도 자체 판단 기준에 따라 중부지역의 1개 GP를 보존 대상으로 지정했다. 우리 측이 선정한 GP는 동해에서 가장 가까운 곳으로, 정전협정이 체결된 1953년 최초로 설치됐다.국방부는 “역사적 보존 가치가 있고, 동시에 금강산과 동해안, 감호 등과 연계해 평화적 이용 가능성이 매우 높은 곳”이라며 “동해선 남북도로와 근접해 접근성 또한 뛰어난 장소로 판단했다”고 설명했다. 남북 군사 당국은 해당 GP의 시설물을 완전히 파괴하지 않고 원형을 유지하기로 한 만큼, 차후 관련 시설물이 군사적 목적으로 사용되지 않도록 지속적으로 상호 확인ㆍ관리해 나갈 예정이라고 국방부는 강조했다. 조영빈 기자 peoplepeople@hankookilbo.com "
"11년 만에 얼굴 맞댄 남북 보건당국…""연내 전염병 정보교환 시범사업""",2018-11-07 17:51,사회,신지후,"남ㆍ북 보건 당국이 11년 만에 전염병 공동대응체계 구축과 보건의료분야 협력을 논의하기 위해 얼굴을 맞댔다. 우선 전염병 유입과 확산 방지를 위해 연내 전염병 정보교환 시범사업을 실시하고, 기술ㆍ인적교류와 실태조사를 위한 공동 현장방문 등도 검토하기로 했다. 권덕철 보건복지부 차관, 권준욱 복지부 건강정책국장, 김병대 통일부 인도협력국장 등 남측 대표단은 7일 개성 남북공동연락사무소에서 박명수 보건성 국가위생검열원 원장을 비롯한 북측 대표단 3명과 만나 보건의료 협력 분과 회담을 진행했다. 남북이 보건의료 관련 회담을 연 것은 10ㆍ4선언 직후인 2007년 12월 이후 처음이다. 이날 회담의 주요 의제는 남ㆍ북한의 감염병 공동대응체계 구축과 지원 방식이었다. 남ㆍ북의 거리가 가깝기 때문에 곤충ㆍ모기로 인한 감염병이나 전염병이 등이 급속도로 퍼질 경우 통제하기 힘들다는 공감대가 형성됐기 때문이다. 남북은 이날 회담에서 올해 안에 남북 간 전염병 정보교환을 시범적으로 실시하고, 중장기적으로는 전염병의 진단ㆍ예방 치료를 위한 공동 현장방문과 기술ㆍ인적교류를 추진하기로 합의했다. 그간에도 북한은 남측 정부가 감염병 분야에서 어느 정도 역할을 해주길 기대해 왔지만, 국제사회의 제재 때문에 논의조차 어려웠다. 특히 북한 내 유병률이 높은 결핵의 경우, 환자는 완치까지 최소 6개월 동안 여러 종류의 항생제를 꾸준히 복용해야 하지만 당국의 대응력이 약해 도움이 절실한 상황이다. 세계보건기구(WHO)의 ‘2018년도 결핵 연례보고서’에 따르면 지난해 북한 내 결핵 환자는 약 13만1,000명(결핵 유병률 인구 10만명 당 513명)으로 집계됐다. 인구 10만명 당 결핵 의한 사망률은 63명으로, 전년(43명)보다도 큰 폭으로 증가했다. 특히 올해 북한의 결핵 예산으로 국제사회의 지원을 포함해 8,400만달러가 필요하지만, 이 중 92%인 7,700만달러가 부족한 상황인 것으로 분석됐다. 권덕철 차관은 회담이 직후 기자회견을 통해 “약품이나 인적교류는 유엔 제재 대상이 안 되는 것으로 알고 있다”며 “외교부ㆍ통일부와 협력해서 오해가 발생하지 않은 범위 내에서 지원을 검토해보겠다”고 말했다. 건강한 자녀 출산ㆍ양육을 도모하는 모자보건 정책 협력 또한 논의됐다. 한국보건사회연구원은 지난 7월 WHO 조사를 기반으로 한 보고서를 통해 북한의 영유아 사망률은 인구 1,000명 당 24명으로 남한(3명)보다 8배 더 많다고 밝힌 바 있다. 북한 출생아 중 생후 6~23개월의 최소 필요식 섭취 비율은 26.5%에 불과하다는 조사 결과도 있다. 남북은 이 같은 모자보건 분야를 포함한 방역ㆍ보건의료협력 사업을 위해 남북공동연락사무소를 통한 협의를 정례화 한다는 계획이다. 박명수 원장은 “만남이 좀 늦긴 했지만, 이제라도 실천적 대책을 강구할 수 있는 마당이 마련돼 다행”이라고 강조했다. 신지후 기자 hoo@hankookilbo.com "
"김병준 “남북한 냉전의 사슬 끊고 경제공동체 이루면 전세계가 주목""",2018-11-07 10:11,정치,김정현,"본보 주최 2018 코라시아 포럼 축사 김병준 자유한국당 비상대책위원장이 “남북한이 냉전의 사슬을 끊고 경제공동체를 이뤄내면 한반도는 그야말로 전 세계가 주목하는 새로운 기회를 제공하게 될 것”이라고 밝혔다.    김 위원장은 7일 서울 용산구 서울드래곤시티 호텔에서 열린 한국일보-코리아타임즈 공동 주최 ‘한반도 평화, 아시아의 기회와 도약 : KOR-ASIA 포럼’에 참석해 “저와 한국당은 한반도 평화의 사회⋅경제적 가치를 그 누구보다 높게 보고 있다”며 이같이 밝혔다.   김 위원장은 “대한민국은 아시아와 중앙아시아와 연해주를 잇는 동북아시아의 허브 국가로 발돋음할 수 있는 역량과 잠재력을 가지고 있다”면서도 ""분단으로 인한 안보위협과 지정학적 제약으로 사실 섬나라와 같은 형태에 놓여있어 더 큰 도약의 기회를 누루지 못했다”고 지적했다.    김 위원장은 ""낙관적 기대만 하기에는 여러 가지 걱정거리가 있다”면서 ""과거 유럽이 경제공동체를 성공시킬 수 있었던 것은 단지 각국 정부의 경제협력 관련 협약뿐만 아니라 북대서양조약기구 나토(NATO)를 통해 안보 불안을 해소하고 공통의 가치관을 바탕으로 갈등의 여지를 줄였기 때문”이라고 강조했다.    김 위원장은 이어 ""남북한의 경제⋅사회적 통합 역시, 핵이 사라지고 인권을 보장하는 진정한 평화에 기반해야 모두가 바라는 미래로 나갈 수 있다”면서 “북한의 인권 탄압 방치한 평화추구는 의미없다. 한반도 번영으로 나가는 과정에서 선비핵화는 필히 준수해야 할 가이드라인”이라고 역설했다.   ■김병준 비상대책위원장 축사 전문 승명호 한국일보 회장님, 이준희 사장님 감사드린다. 우리 국민의 한 사람으로서 아시아인의 사람으로서 한반도의 평화와 아시아의 새로운 기회 이런 것을 주제로 해서 포럼을 열어주시는 것이 정말 감사한 일이라고 생각이 된다. 메가와티 전 인도네시아 대통령님을 비롯한 외빈들께도 깊은 감사의 말씀을 드린다. 특히 메가와티 전 대통령께는 얼마 전 쓰나미가 왔을 때 저는 자유한국당의 대표의 자격으로 위로의 말씀을 전한 바가 있는데 오늘 이렇게 뵙게 돼서 반갑다. 그리고 그 재난을 잘 극복하고 계시기를 염원하고 있다.  대한민국은 아시아와 중앙아시아 그리고 연해주를 잇는 동북아시아의 허브국가로 발돋움할 수 있는 그런 역량과 잠재력을 가지고 있다고 생각한다. 그러나 분단으로 인한 안보위협과 지정학적인 제약으로 인해서 사실 섬나라와 같은 그런 형편에 놓여있으면서 더 큰 도약의 기회를 누리지 못하고 있었다. 남북한이 이제 냉전의 사슬을 끊고 경제공동체를 이뤄낸다면 한반도는 그야말로 전 세계가 주목하는 새로운 기회를 제공할 것이라고 생각한다. 이런 점에서 저나 우리 자유한국당은 한반도 평화의 사회적, 경제적 가치를 그 누구보다도 높게 평가하고 있다는 말씀을 드린다. 그런 의미에서 남북한이 진정한 평화, 미래로 나가기를 염원하고 있다.  하지만 이런 낙관적 기대만 하기에는 여러 가지 우리의 걱정거리와 걸림돌이 있는 것 같다. 과거 유럽이 경제공동체를 성공시킬 수 있었던 것은 단지 각국 정부의 경제협력에 관한 협약뿐만 아니라 NATO를 통해 안보의 불안을 해소하고, 공통의 가치관을 바탕으로 갈등의 여지를 줄였기 때문이라고 생각한다. 남북한의 경제·사회통합 역시 핵이 사라지고 인권이 보장되는 진정한 평화에 기반 해야만 우리 모두가 바라는 미래로 나아갈 수 있다고 생각한다. 이런 점에서 북한의 핵위협과 인권탄압을 방치한 채 평화를 추구하는 것은 의미가 없다고 생각한다. 그런 만큼 한반도 평화와 번영을 향해서 나아가는 과정에서 선 비핵화 문제는 우리가 필히 준수해야 될 가이드라인이 아닌가 생각한다. 오늘 포럼에 여러 정치 지도자들과 많은 전문가들께서 참석해 주셨는데 바로 이런 맥락에서 그야말로 한반도의 진정한 평화가 이루어지고 그것이 아시아의 또 다른 번영을 위한 좋은 기회가 되기 위한 그런 여러 지혜들이 모이는 그런 장이 되었으면 좋겠다. 다시 한 번 국민의 한 사람으로서 또 아시아인의 한 사람으로서 감사의 말씀과 축하의 말씀을 함께 드린다. 감사하다. 김정현 기자 virtu@hankookilbo.com  "
“남북 경협=퍼주기? 대북 불신에 기반”,2018-11-06 14:34,정치,신은별,"▷ ‘What’s up?’은 ‘무슨 일이냐’ 또는 ‘잘 지냈냐’는 뜻입니다. ‘와썹? 북한’을 통해 지난해까지 남한과의 교류가 사실상 중단 상태였던 북한이 현재 어떤 모습인지, 비핵화 협상과 함께 다시 움트기 시작한 북한의 변화상을 짚어봅니다. 한국일보가 ‘한반도 비핵화와 대북 투자’를 주제로 9~12월 진행하는 한국아카데미의 강의 내용을 토대로 합니다. 정부가 개성공단 가동을 전면 중단한 지 1000일째인 5일 김진향 개성공업지구지원재단 이사장은 서울 용산구 드래곤시티에서 진행된 ‘한국아카데미’에서 “개성공단을 두고 여전히 (북한에 대한) ‘퍼주기’라고 하는 사람들이 있는데, 북한은 단지 경제적 관점에서 개성공단 사업을 시작한 것이 아니다”며 세 가지 근거를 들었다. 이날 강연은 정부가 개성공단 기업인 방북을 두고 북측과 협의 중이라는 사실이 공개된 이후, 개성공단을 비롯 남북 경제협력 사업에 대한 비판적 목소리가 커지는 와중 이뤄졌다. 김 이사장은 첫 번째 근거로 개성공단 부지 사용료를 제시했다. 그는 “북측은 남측이 사용하는 부지에 대한 비용을 충분히 감당할 여력이 있었음에도 불구, 1단계 개발지역인 약 331”㎡(100만 평) 규모 부지를 1㎡ 당 1달러에 제공했다”는 점을 들어 “이를 통해 원래 군사 공간이었던 곳을 평화와 경제의 공간으로 바꾸고자 했다”고 판단했다.  북측 노동자 임금 수준이 낮았다는 점도 언급했다. “남북이 2004년 기본임금을 협의할 당시, 남측은 월 200~250달러를 얘기했는데, (협상 중) 김정일 국방위원장이 군 관계자에게 구두로 ‘6ㆍ15 정신에 입각해서 평화의 정신으로 (기본임금을) 50달러로 하라’고 지시하며 협상이 타결됐다”는 게 김 이사장 설명이다.  기본임금이 사업 초기 3년 동안 동결된 것도 김 이사장이 제시한 근거 중 하나다. 남북이 합의한 기본임금 인상 상한선은 5%였는데, 공단 가동 이듬해 임금협상에서 북한이 먼저 “남측 기업이 (개성공단에) 들어온 지 1년도 안 됐는데 무슨 임금협상이냐”며 동결을 제안했다는 것이다.  이어 그는 “2015년을 기준으로 개성과 베트남에 투자한 (비슷한 업종, 규모의) 기업 경쟁력을 비교해보니, 개성에 투자한 기업이 매출액에서 1.3배, 당기순이익에서 5배 우위에 있었다”며 “개성공단 전면중단 조치는 북한에 대한 제재가 아니라 우리 기업과 근로자를 제재한 것, 즉 정책 실패라 할 수 있으므로 정부는 하루빨리 (실패한 정책을) 바로잡아야 한다”고 강조했다.  그는 남북 경협 이야기가 나올 때마다 ‘퍼주기’라고 주장하는 이들을 “(투자한 금액이) 어떤 대가로 돌아오는지를 생각하지 않고 ‘돈이 북한으로 넘어간다’는 한 가지 측면만 생각하는 것”이라고 지적하며, “퍼주기 논란에는 북측에 대한 불신과 남북 경협 이데올로기에 대한 폄하가 내재돼 있다”고 봤다.  같은 날 강연에 나선 신한용 개성공단기업협회장도 “북한에 대한 불신에 기반을 두고 있기 때문에 (경협을 둘러싼) 남남(南南) 갈등이 계속되는 것 같다”며 개성공단에 입주했던 기업인으로서의 경험을 토대로 대북 투자를 말했다.  그는 공단 운영 당시 “(북측) 인력의 배치, 상벌과 관련해 (남측 기업이) 채용, 인사에서 자율성을 거의 갖지 못했으며, 근로자에게 개별적으로 임금을 지불하지 않고 북측 운영기관에 기업별로 일괄 납부하는 형식으로 임금 지급이 이뤄졌다”며 이를 생산성 향상 저해 요소로 꼽았다. 또 “식대, 간식비, 교통비 등 복리후생 비용이 임금 대비 과도했다”는 점을 설명하면서 북한 노동자에게 간식으로 제공했던 초코파이가 임금 수준을 웃돌기도 했던 웃지 못할 에피소드도 털어놨다. 그러나 개성공단 가동이 중단된 상황에서도 그는 “경쟁력 있는 임금 수준, 동일 언어 사용 등 북측이 가진 강점을 감안할 때 정부 차원에서 근로자 수급을 기업 자율에 맡기는 것으로 합의하고, 정치적 이익에 따라서가 아니라 상호 이익에 부합하는 생산성 향상 대책을 마련한다면 개성공단과 같은 형태의 경협은 (남측 기업이 투자할) 가치가 있다”고 말했다.  신은별 기자 ebshin@hankookilbo.com "
경기ㆍ강원도의회 “남북 평화 위해 힘 합치자”,2018-11-05 17:00,,이종구,"경기 파주시 통일대교는 우리나라 땅인데도 신분 확인을 거쳐야 통행이 가능한 곳이다. 5일 낮 통일대교 검문 수속을 마치고 다리를 지나 3분여를 더 가니 경의선(서울~신의주) 철도역인 도라산 역이 눈에 들어왔다. 북한과 직선거리로 불과 800m 떨어진 경의선 최북단 역이다. 북으로 향하는 첫 번째 역이자 통일시대에 대비한 국제 역이기도 하다. 역 앞에 있는 높이 156m의 도라산에서 역 이름을 따왔다. 이날 한반도 통일 염원을 상징인 도라선역에서는 접경지역 지방의회가 손을 맞잡았다.   경기도의회(의장 송한준)와 강원도의회(의장 한금석)는 도라산역에서 “남북 화해와 평화 분위기 조성을 위해 힘을 합치자”며 ‘평화 업무협약’을 체결했다. 남북관계 개선을 위한 지방의회 간 최초의 업무협약이다.  두 의회는 협약서에 “남북ㆍ북미정상회담을 계기로 만들어진 남북 화해와 평화 분위기 조성을 위해 남북교류협력과 DMZ 공동개발에 나선다”고 합의했다. 두 의회는 이날 남북 평화 정착을 위해 함께 노력하겠다는 의미를 담아 이곳에서 협약을 맺었다. 이번 업무협약은 정대운(광명2) 경기도의회 기획재정위원장이 접경지역 의회가 힘을 합치면 한반도 훈풍이 평화로 정착될 것이라고 제안해 이뤄졌다. 두 의회는 이날 △인도적 지원ㆍ경제협력ㆍ지역SOC개발 등 남북교류협력사업 △DMZ 생태보존과 국제적 지역관광 거점화를 위한 공동사업 △경원선 연결 및 현대화 등 남북철도 복원 관련 협치 방안 모색 △접경지역 발전 및 규제개선을 위한 업무협력 △남북교류협력 사업기반 구축을 위한 공동회의 정례화 등을 추진하기로 했다.  두 의회가 체결한 평화 업무 협약은 이날부터 효력을 갖게 된다.   경기도의회는 이번 협약 사항이 경기도의 대북 사업과 함께 추진될 경우 이른 시일 내에 성과가 나올 것으로 기대하고 있다. 앞서 경기도는 지난달 내년 중 남북교류협력을 위해 인도적 지원 등 7개 분야에서 31개 사업을 추진키로 하고, 108억6,300만원의 예산을 투입할 계획이라고 밝혔다. 참석자들은 협약식에 앞서 도라선역과 민통선 내 유일한 반환 미군공여지인 파주 캠프그리브스 등을 둘러보며 한반도 평화 통일을 함께 기원했다.  송한준 경기도의회 의장은 “오늘 평화 업무협약은 남북 간 평화를 앞당기고 지역 간 네트워크를 활성화하는 계기가 될 것”이라며 “선언적 의미를 넘어 눈에 띄는 성과로 이어질수 있도록 노력 하겠다”고 말했다. 한금석 강원도의회 의장은 “남북관계가 번영으로 가는 과정에서 뜻 깊은 협약이 됐다”고 강조했다.  이종구 기자 minjung@hankookilbo.com "
"한미연합사령관 “미국, 남북 군사 신뢰 구축 지지ㆍ동의”",2018-11-05 17:19,정치,권경성,"4ㆍ27 판문점선언에 포함된 남북 간 군사 분야 신뢰 구축 방안이 미국의 지지ㆍ동의 아래 이행되고 있다고 빈센트 브룩스 한미연합사령관 겸 유엔군사령관이 5일 확인했다. 다만 공동경비구역(JSA)과 비무장지대(DMZ) 내 지뢰 제거 조치만 제한적으로 언급됐다. 브룩스 사령관은 한국 합동참모본부가 이날 발행한 ‘합참’ 가을호(제77호)에 기고한 ‘동주공제(同舟共濟ㆍ같은 배를 타고 강을 건넌다는 뜻의 한자성어) 정신으로 같이 갑시다’ 제하 글에서 “현재 역사적인 판문점선언에 담긴 군사 분야의 신뢰 구축 방안들은 미국의 지지와 동의, 그리고 유엔군사령부의 직접ㆍ지원 조치들과 함께 진행되고 있다”고 밝혔다. 한미연합사령관이 합참의 기관지에 실명으로 기고한 건 브룩스 사령관이 처음이다. 기고에서 그가 거론한 신뢰 구축 조치는 지난달 초 JSA와 강원 철원군 DMZ의 화살머리고지 일대에서 시작된 지뢰 제거 작업이다. 그는 “신뢰 구축 방안은 공동경비구역과 비무장지대 일부 구역에서의 지뢰 제거와 전사자 유해 발굴 및 송환 계획을 포함하고 있다”며 “지뢰 제거 작업은 한국과 북한의 공병부대 병력이 투입돼 이뤄지고 있고 양국이 희망하는 관광 분야 확대를 목적으로 공동경비구역을 보다 안전하고 안정적인 장소로 만들기 위한 작업도 진행되고 있다”고 전했다. 이어 “비무장지대 일대에서의 지뢰 제거는 이후 진행될 남북 공동 유해 발굴 작업을 위한 사전 조치”라며 “이런 일련의 조치들은 앞으로 항구적이고 안정적인 평화로 가는 다음 단계에 반드시 필요한 신뢰 구축을 위해 (남ㆍ북ㆍ미가) 함께 노력하고 있음을 보여준다”고 평가했다. 한반도 미래는 낙관했다. “저는 현재 우리의 상황에 고무돼 있지만, 앞으로 우리 앞에 놓인 과제가 만만치 않다는 것 또한 분명히 인식하고 있다”면서도 “결국 동주공제의 정신이 승리하리라 믿고 있다. 바로 한국인들과 미국인들이 이 여정을 함께하고 있기 때문”이라고 덕담했다. 그러면서 한미동맹의 중요성을 역설했다. “한미동맹이 동북아의 평화와 안보 유지에 매우 중요하고 한미 양국의 공동 안보와 경제적 번영에 기여하고 있다”며 “전쟁의 도가니 속에서 맺어진 한미동맹은 지난 68년 넘게 지속돼 왔다. 남산의 소나무와 같이 우리의 뿌리는 깊고 강력하다. 한미동맹은 절대 흔들리지 않을 것”이라고 그는 강조했다. 2년 6개월여 간의 임기를 마친 브룩스 사령관은 8일 이임한다. 권경성 기자 ficciones@hankookilbo.com "
"남북, 평화의 물길 열고 한강하구 공동 수로조사",2018-11-05 16:38,정치,신은별,"남북이 민간선박의 자유항행을 위한 한강ㆍ임진강 하구 공동수로조사를 5일 개시했다. 1953년 정전협정 체결 이후 처음이다. 남북은 연내 조사를 완료하고, 내년 1월까지 해도(海圖)를 제작할 예정이다. 국방부와 해양수산부에 따르면 이날 남북은 ‘9ㆍ19 군사분야 합의서’에 따라 한강과 임진강 하구의 공동이용을 위한 수로조사를 개시했다. 이동재 해수부 산하 국립해양조사원장은 정부세종청사에서 열린 브리핑에서 “수로조사란 음향을 이용해 선박부터 바닥까지 깊이를 측정한 후, 조석에 의해 변화하는 수심을 측정해 선박이 안전하게 운항할 수 있는 수심을 알아내는 것”이라고 설명했다. 남북이 합의서를 통해 설정한 공동이용수역은 남측 김포반도 동북쪽 끝점부터 교동도 서남쪽 끝쪽까지, 북측 개성시 판문군 임한리부터 황남 연안군 해남리까지로, 길이 70㎞, 면적 280㎢에 해당한다. 수로조사는 1953년 정전협정 이후 65년 만에 처음으로 이뤄졌다. 남북이 설정한 공동이용수역은 정전협정상 남북 민간선박의 자유로운 항행을 허용하고 있으나, 현재까지 ‘민감수역’으로 관리돼 자유항행이 제한돼왔다. 국방부는 “수로조사가 완료되면 자유항행 보장을 위한 항행정보(해도)를 제공할 예정”이라고 밝혔다. 남북은 공동이용수역을 3개 구역으로 나눠 연내 조사를 완료하고, 조사결과를 토대로 내년 1월까지 해도를 제작할 예정이다. 다만 정전협정 이후 한번도 조사가 이뤄지지 않은 구역인 만큼, 조사기간이 늘어날 수 있다고 해수부는 내다봤다.  남북 10명씩, 총 20명으로 구성된 공동조사단은 이날 오후 수로탐지용 음향탐지장비를 구비한 소형 발동선 2척과 지원선 2척에 나눠 타고 조사를 진행했다. 선박에는 ‘바다의 적십자기’라 불리는 국제수로국의 수로측량깃발이 달려있었다. 당초 남북은 오전 10시 해상에서 만나 조사를 시작할 예정이었으나, 썰물로 인해 항해가 여의치 않아 접선이 미뤄졌다. 황준 해양수산부 국립해양조사원 수로측량과장은 이날 조사 시작에 앞서 기자들과 만나 “수로 조사, 해저 지형조사에 중점을 두고 있으며, 조석 관측도 (조사에) 포함된다”며 “수로가 낮기는 하지만 기술적으로 큰 어려움은 없을 것이다”고 설명했다. 향후 공동조사는 남측 선박 6척으로 이뤄질 예정이다. 이날 조사에도 김포에서 출발한 발동선 2척이 더 투입될 예정이었으나 수심이 불안정해 중간에 합류를 포기했다. 선박과 장비 임차료 4억 1,800만원 등은 통일부 남북협력기금을 사용한다. 남북공동수로조사 남측 조사단장을 맡은 윤창희 해병대 대령은 대북제재 위반 소지를 묻는 질문에 “기초 조사여서 문제가 없을 것으로 본다”고 답했다.  남북이 지난달 열기로 합의한 보건협력 분과회담도 일정이 다소 지연되기는 했으나 7일 개성 공동연락사무소에서 열릴 예정이다. 백태현 통일부 대변인은 이날 회담 일정을 공개하며 “남북 전염병 공동대응체계 구축과 보건의료 분야 협력에 대한 폭넓은 협의 자리가 되기를 기대한다”고 밝혔다. 국방부ㆍ해양수산부 공동취재단 신은별 기자 ebshin@hankookilbo.com 세종=이현주 기자 memory@hankookilbo.com "
"[포토]
                 남북 민화협, 10년 만에 금강산서 연대 및 상봉대회 개최",2018-11-05 17:11,정치,홍인기,"남측 민족화해협력 범국민협의회(민화협)와 북측 민족화해협의회가 3일과 4일 이틀간 금강산에서 4월에 열린 ‘판문점 선언과 9월 평양공동선언 이행을 위한 남북 민화협 연대모임’행사를 10년 만에 진행했다. 북한 조선중앙통신에 따르면 “북남 민화협 연대모임에서 연설자들은 북과 남의 모든 정당, 단체, 인사들이 정견과 신앙, 당파와 소속, 주의 주장의 차이를 초월하여 민족공동의 요구와 이익을 우선시하며 연대연합을 실현해 나갈 것”이라 전했다. 중앙통신은 연대모임에서 공동결의문을 채택했으며, 부문별 단체상봉모임도 진행 소식과 함께 남북 민간단체 대표들이 금강산관광지구의 삼일포 일대를 둘러본 일정을 보도했다. 이번 공동행사는 2008년 열린 6.15 공동선언 기념 행사 이후 10년 만에 남북 민간단체가 개최한 대규모 행사이다. 남측에서는 김홍걸 남측 민화협 대표상임의장을 포함해 노동ㆍ농민ㆍ여성ㆍ종교 등 각 분야에서 총 256명이 방북했으며, 북측은 김영대 북측 민화협 회장을 비롯해 대남 관계자들과 근로단체 고위 인사 등 100여 명이 참석했다. 홍인기 기자 "
"65년만에 한강하구 남북공동조사, 민간선박 자유항해 첫발",2018-11-05 11:15,경제,이현주,"남북공동조사단의 한강 하구 공동 이용을 위한 수로 조사가 시작됐다. 민간선박의 접근이 제한돼 있는 한강 하구 수역을 조사하는 것은 1953년 정전협정 이후 처음이다. 해양수산부와 국방부는 5일 오전부터 ‘역사적인 판문점 선언 이행을 위한 군사분야 합의서(9.19 군사합의)’에 따라 남북 공동으로 한강 하구 수로조사를 실시한다고 밝혔다. 조사가 진행될 수역은 남측 경기 김포시 반도 동북 끝~인천 교동도 서남 끝과 북측 개성시 판문군 임한리~황남 연안군 해남리 사이로 길이는 약 70㎞다. 면적은 약 280km2, 평균 수심은 2~4m, 최대 수심은 14m에 이를 것으로 추정된다. 이동재 국립해양조사원장은 “1953년 정전협정 이후 수로조사가 이뤄지지 않아 정확한 조사를 실시해 봐야 자세한 면적과 수심을 알 수 있다”고 설명했다. 해당 수역은 정전협정 제1조5항에 따라 남북 민간선박의 자유로운 항행이 보장되는 곳이다. 그러나 유엔군사령부 군사정전위원회가 그간 한강 하구를 ‘민감수역’으로 관리하면서, 선박 접근은 사실상 제한됐다. 남북은 9ㆍ19 군사합의서를 통해 한강하구를 공동이용수역으로 설정하는데 합의하고, 수로조사를 실시한 뒤 민간선박의 이용을 군사적으로 보장하기로 했다. 공동조사단은 민간선박이 수역에 진입했을 때 안전한 수심을 확보하기 위해 필요한 기초 정보를 수집하게 된다. 음향측심기를 이용해 선박 바닥부터 강바닥까지 깊이를 측정하고, 조석간만의 차에 따라 변하는 수심 깊이도 조사한다. 조사단은 우리 측 10명, 북한 측 10명 총 20명으로 구성됐다. 군과 수로조사 전문가들이 참여한다. 우리 정부가 수로조사선 2척, 소형어선 4척 등 6척의 배를 제공하고, 북측 조사단과 함께 승선해 조사를 진행하는 방식이다. 공동조사단은 12월 11일까지 37일간 조사를 실시한 뒤 내년 1월까지 해도를 간행한다는 계획이다. 해도는 이후 국방부를 통해 북측에 전달된다. 한강 하구에 민간선박 접근이 가능해지면 강바닥에서 건설용 모래를 캐내는 골재채취가 활발해 질 것으로 정부는 기대하고 있다. 남북이 공동으로 건설용 골재를 채취하고 판매 수익 등을 배분하는 방식도 검토되고 있다. 이 원장은 “공동조사는 안전한 항해를 위해 실시하는 기본조사로, 유엔대북제재와는 관계가 없다“며 “이번 조사는 유엔군 사령부와도 합의된 내용”이라고 설명했다. 세종=이현주 기자 memory@hankookilbo.com "
민주당 “일자리ㆍ남북교류 예산 사수”,2018-11-02 17:23,정치,류호,"더불어민주당이 야당과의 본격적인 예산안 협상을 앞두고 전열을 가다듬었다. 정부가 제출한 470조5,000억원의 원안 통과를 위해 당ㆍ정ㆍ청 간 소통을 강화하는 모습이다. 무엇보다 남북교류와 일자리 등 정부의 핵심사업 예산만큼은 사수하겠다며 결의를 다졌다.   민주당은 2일 국회 의원회관에서 ‘2019년도 예산안 심사 대비 당정청 워크숍’을 개최했다. 당에선 홍영표 원내대표와 김태년 정책위의장, 민주당 소속 국회 상임위원회 위원장 등이 참석했다. 정부에선 조명균 통일부 장관과 김용진 기획재정부 2차관이, 청와대에선 윤종원 경제수석과 정태호 일자리수석 등이 참석했다.  야당이 대폭 삭감하겠다는 일자리 예산 23조5,000억원과 남북교류 예산(남북협력기금 포함) 1조1,000억원은 반드시 지키겠다는 입장이다. 홍 원내대표는 “일자리나 혁신성장 등 정부의 역점사업에 관한 예산에 대해 철저하게 준비하겠다”고 말했다. 강병원 원내대변인은 워크숍 직후 “문재인 정부가 편성한 사실상 첫 예산”이라며 “집권 3년차 성과를 내는데 꼭 필요한 예산이기 때문에 지켜내겠다”고 강조했다. 민주당은 이번 정기국회 주요 처리 법안으로 유치원 비리 근절을 위한 ‘유치원 3법’과 공인중개사법, 민간임대주택특별법 등을 추가하기로 했다. 또 아동수당법을 개정해 소득 수준과 관계 없이 수당을 모두에게 지급하는 방안을 추진하기로 했다. 이밖에 공정거래위원회의 전속고발권 폐지 등을 다룬 공정거래법, 창업벤처기업에 한해 차등의결권을 도입하는 상법 개정안, 고위공직자비리수사처와 검경수사권 조정도 주요 처리 법안으로 정하고 대책을 논의했다. 쟁점 법안의 신속한 처리를 위해 야당에 ‘여야 민생경제법안 태스크포스(TF)’ 재가동을 제안하기로 했다. 강 원내대변인은 “지난 8~9월 국회에서 민생경제법안TF를 통해 쟁점 법안에 대한 이견을 많이 줄였다”며 “이 TF의 재가동을 야당에 제안하기로 했다”고 말했다. 또 여야 3당 원내대표가 ‘여야 저출산극복TF’ 구성에 동의했다고 밝혔다.       민주당은 4일 고위 당정청회의를 열고 워크숍에서 나온 내용들을 바탕으로 예산안과 정기국회 주요 법안에 대해 의견을 나눈다.  류호 기자 ho@hankookilbo.com "
