제목,날짜,분류,기자,본문
나경원 “서울 한복판 김정은 연호? 제정신 갖고 이해 안돼”,2018-11-08 20:35,정치,이가영,"자유한국당 나경원 의원이 8일 ‘백두칭송위원회’ 결성을 두고 “제정신을 갖고는 이해할 수 없는 일들이 자유대한민국에서 벌어지고 있다”며 “문재인 정부가 대한민국 정부임을 스스로 포기하고 있다”고 밝혔다.           나 의원은 이날 페이스북을 통해 “어제 서울 한복판에서 김정은 북한 국무위원장의 서울 방문 환영을 이유로 ‘김정은’을 연호하는 집회가 열렸다”며 “집회를 주최한 친북좌파단체 중에는 과거 대법원에서 이적단체 판결을 받고 해산한 단체를 계승한 것으로 알려진 단체들도 포함되어 있다”고 적었다. 또 문정인 대통령 외교안보특별보좌관이 김 위원장 연내 서울 방문 가능성을 전망했고, 태영호 전 북한공사는 한 단체의 협박에 가까운 방해로 멀쩡한 강연 일정을 취소했다고 전했다.             나 의원은 “북한 통치자를 찬양하는 행사가 개최되고, 북한 정권의 실상을 전달하려는 이는 협박받는 현실에 국민은 ‘나라가 미쳤다. 이적 단체들은 북한이나 가라’며 분노하는 반면, 정부는 김 위원장의 서울 방문 추진을 넘어 북한 정권 찬양에 앞장서기까지 하는 모양새”라고 봤다.             그는 “남북 간 대화와 북한 정권 찬양은 엄연히 구분해야 한다”며 “유엔 인권보고서는 지속해서 북한의 참혹한 인권 실상을 공개하고 있고, ‘현대판 노예’가 260만명에 달해 ‘2018 세계노예 지수 1위’에 오른 것이 바로 북한”이라고 역설했다.             그러면서 “이적 이념과 친북 선동으로 사회불안을 조성하는 단체는 방치한 채 김 위원장 서울방문을 서두르는 문재인 정부는 대한민국 정부임을 스스로 포기하는가 묻고 싶다”고 덧붙였다.             전날 국민주권연대와 한국대학생진보연합 등 13단체는 서울 종로구 세종문화회관 앞에서 기자회견을 열고 ‘백두칭송위원회 결성 선언문’을 발표했다. 이들은 선언문에서 “9월 평양 정상회담에서 김 위원장과 북한 지도부, 국민이 보여준 평화와 통일에 대한 열망은 가히 경이적이었다”며 앞으로 김 위원장 서울 방문 기념 강연, 음악회, 박람회를 열겠다고 밝혔다.            이가영 기자 lee.gayoung1@joongang.co.kr"
북ㆍ미 회담 연기됐는데 느긋한 트럼프 “서두를 것 없다”,2018-11-08 16:54,정치,유지혜,"도널드 트럼프 미국 대통령이 중간선거를 치르자마자 북핵 문제를 놓고 “서두를 것 없다”고 밝혔다. 트럼프 대통령은 중간선거 다음날인 7일(현지시간) 백악관 기자회견에서 “지금 북한과 진행되는 상황에 만족하고 있으며, 잘 되고 있다고 생각한다. 제재는 그대로 유지되고 있고 미사일과 로켓도 멈췄다”며 이같이 말했다. 또 “나는 제재를 해제하고 싶지만 그들의 대응이 있어야(responsive) 가능한 일이다. 그것은 쌍방향(two-way street)이어야 한다”고 말했다.        최우선 현안인 전국선거를 끝내며 숨을 돌린 트럼프 대통령이 ①북한이 비핵화 조치를 해야 한다 ②하지 않으면 제재 완화도 없다 ③제재가 있는 한 우리는 급할 게 없다는 대북 협상의 속내를 대놓고 공개한 것으로 풀이된다. 북·미 고위급회담이 연기됐는 데도 오히려 느긋한 트럼프 대통령이다. 워싱턴 사정에 밝은 소식통은 “트럼프 대통령은 제재가 유지되는 한은 칼자루는 미국이 쥐고 있다고 보고 있다”고 전했다.      이날 기자회견에서 북한과 관련된 질문은 두 개였다. 트럼프 대통령은 이에 답하면서 “서두를 것 없다(in no rush 혹은 in no hurry)”는 말만 일곱 차례 반복했다. “제재가 유지되고 있다”는 말은 네 차례 했다. 소식통은 “북핵 문제는 중간선거용으로 충분히 잘 썼다는 게 트럼프 대통령의 계산일 것”이라며 “고위급 회담 연기 발표를 중간선거일에서 1분 지난 7일 0시1분에 한 것도 같은 맥락으로 보인다”고 설명했다.        트럼프 대통령은 단 “내년 초 언젠가”라며 고위급 회담 연기와 상관없이 2차 북ㆍ미 정상회담은 예정대로 진행하겠다는 뜻을 밝혔다. 고위급 회담 연기 배경과 관련한 질문에 “출장 일정들이 잡히고 있어서”라고 답했다. 취소(cancel)라고 표현하지 않고 일정 변경(change)이라고 표현하며 “다른 날짜에 하려고 한다”고 했다.                   이와 관련, 강경화 외교부 장관은 8일 국회 외교통일위원회에서 연기를 요청한 쪽이 북한이라고 확인했다. 강 장관은 “미국 측으로부터 받은 설명으로는 북측에서 ‘서로 일정이 분주하니까 연기하자’고 하는 통보를 받았다고 한다”고 설명했다. 미 국무부의 로버트 팔라디노 부대변인도 브리핑에서 “순전히 일정 문제”라며 “굉장히 단순한 문제”라고 말했다. 그는 “일정 문제 때문”이라는 말만 12번 했다.     하지만 일정 문제를 내세운 것은 핑계에 가깝다는 게 외교가의 분석이다. 풍계리 핵실험장, 동창리 미사일 엔진 시험장, 영변 핵시설 사찰 및 이를 위한 핵심시설 신고를 요구하는 미국과 제재 완화를 요구하는 북한 사이에 본질적 이견을 좁히지 못한 것이 실제 원인일 가능성이 크다는 것이다. 미 월스트리트저널(WSJ)도 “회담 취소는 핵무기 프로그램을 제거하기 전까지는 경제적 보상이 없다는 폼페이오 장관의 입장에 대한 북한의 불만 메시지로도 해석된다”고 보도했다. 뉴욕타임스(NYT)는 “미국과 북한 간 외교 프로세스가 싱가포르 북ㆍ미 정상회담으로 정점을 찍은 뒤 헤어나올 수 없는 수렁(quicksand)에 빠졌다”며 “양측의 기대와 요구가 맞지 않았다”고 진단했다.     이런 상황에서 트럼프 대통령이 아쉬울 게 없다는 식으로 나섬에 따라 북핵 문제가 후순위로 밀리는 것 아니냐는 우려도 일각에선 나오고 있다. 북한 역시 미국의 ‘전략적 무시’에 도발로 대응한 전력이 있는 만큼 북ㆍ미 협상 지연이 장기화되면 도발 예고로 미국을 압박할 가능성도 있다.     당장은 정부가 난감해졌다. “서두를 것 없다”는 트럼프 대통령과 “우리민족끼리”를 내건 북한 사이에서 샌드위치 신세가 될 수도 있다. 9ㆍ19 남북 정상회담 때 합의했던 김정은 위원장의 연내 서울 답방에도 영향을 줄 전망이다. 외교부 당국자는 “우리로서는 최대한 이른 시일 내에 고위급 회담 일정이 다시 잡히기를 바랄 뿐”이라고 밝혔다. 워싱턴=정효식 특파원, 유지혜ㆍ권유진 기자 wisepen@joongang.co.kr"
"신원식 ""NLL 군사력 균형 北에 유리하도록 바뀌었다""",2018-11-08 15:18,정치,안효성,"북한 비핵화 실패에 대비해 한ㆍ미 핵 공유체제를 구축해야 한다는 주장이 8일 나왔다.                  신원식 전 합동참모본부 작전본부장은 8일 오전 국회 의원회관에서 한반도선진화재단 주최로 열린 ‘자강중심의 평화정책을 위한 안보 대북정책 패러다임의 혁신’ 강연에서 “우리 자체의 대응능력 확충이 필요하다”며 이같이 주장했다.           신 전 본부장은 미래 한국의 국방태세에 대해 “북 핵무장을 전제로 국방태세를 구축해야 한다”며 “핵 공유 체제 등 한ㆍ미 연합방위태세를 새롭게 하고 3축 체계를 조기 구축해야 한다”고 말했다. 3축 체계는 유사시 북한의 대량살상무기(WMD)를 선제타격하는 킬체인(Kill Chain), 북한의 미사일을 요격하는 한국형 미사일방어(KAMD), 북한 지도부 등에 대한 대량응징보복(KMPR)으로 구성됐다.           신 전 본부장은 “현 한미연합사의 전면전 수행태세는 전쟁양상 변화를 수용하지 못했다. 새로운 전쟁수행방식, 군사력 증강, 작전태세를 구축해야 한다”며 “개전 즉시 공·해상 우세권을 확보해 주도권을 장악하고 북 체제 조기 붕괴를 시도해야 한다”고 주장했다.           또 신 전 본부장은 군사적 옵션의 비핵화가 항상 가능하다는 사실을 북한에 인식 시켜줘야 한다고 강조했다. 신 전 본부장은 “비핵화 협상 여건 조성을 위해 북한이 버틸 수 없는 상황으로 재부팅해야 된다”며 “대북 제재와 중국의 동참, 핵ㆍ미사일 양산과 실전 배치를 차단해야 한다”고 말했다. 그러면서 비핵화에 대한 보상에 대해 “한국의 안보를 훼손하는 내용은 보상에서 제외해야 한다”고 말했다.           신 전 본부장은 평양공동선언에 대해 “북한의 선의에 기초해 우리 안보태세의 위험을 감수했다”고 비판했다. 남북 군사 분야합의서에 대해 “북한 비핵화의 진전이 없는데 더 중요한 안보태세가 와해됐다”며 “남북 재래식 전력 균형이 북에 일방적으로 유리하도록 변화됐다”고 주장했다. 서해 북방한계선(NLL)을 평화수역으로 만들기로 한 데 대해선 “NLL 일대 군사 군사력 균형이 북에 일방적으로 유리하게 변화돼 서북 5개 도서 방어력이 심대하게 약화되고 수도권 서측의 치명적 공백이 발생했다”고 평가했다.           안효성 기자 hyoza@joongang.co.kr"
"슬금슬금 늘어나는 판문점선언 청구서···국방부 ""101억 추가""",2018-11-08 14:59,정치,한영혜,"국방부는 8일 판문점선언 이행을 위한 남북 군사부문 합의서(9·19 군사합의서) 실행과 관련해 추가 예산 규모를 101억4000만원으로 추산하고 증액을 요청한 것으로 확인됐다.           국방부가 최근 국회 국방위원회 소속 백승주 자유한국당 의원에게 제출한 ‘9·19 군사합의서 이행에 따른 추가소요’ 자료에 따르면 남북 시범적 공동유해 발굴, 판문점 공동경비역(JSA) 비무장화, GP(감시초소) 시범철수, 해병대 서북도서 순환훈련 수송비 등 일부 사업에 예산이 필요한 것으로 판단했다.            그러나 지난달 29일 국회 국방위원회의 종합 국정감사에서 정경두 국방부 장관은 “(군사 부문 합의) 이행 비용 조달이 평상시 편성된 국방예산으로 충분히 가능하냐”는 민홍철 더불어민주당 의원의 질문에, “그렇게 생각하고 있다”고 답변한 바 있다.                   자료에 따르면 국방부는 2018∼2019년 합의 이행 예산에 총150억1000만원을 추계했다. 이 중 올해 40억1000만원은 정부 예산에 반영됐으나, 내년도 소요예산 110억원 중 101억4000만원은 정부 예산안에 반영돼지 않았다가 이번에 추가됐다. 세부적으로는 GP 시범철수 81억8000만원, 서북도서 포병부대 순환훈련 19억6000만원 등이다. 기존 예산안에는 강원 철원군 화살머리고지 남북 공동 유해발굴사업 예산 21억3000만원과 판문점 공동경비구역(JSA) 비무장화 예산 25억8000만원만 반영돼 있다.           이에 따라 일각은 국방부가 대안 훈련 계획 및 예산을 제대로 수립하지 못한 상태에서 군사부문 합의를 졸속으로 이행하고 있다는 비판을 제기했다.           국방부는 제출한 자료를 통해 현재까지 추산된 예산은 기존 예산 범위 내에서 집행이 가능하며, 타 부처나 기관에 협조가 필요한 예산 사업은 없다고 밝혔다.           국방부는 언론에 보낸 ‘알림’ 자료를 통해 “남북 군사합의 이행을 위한 추가적 재정 소요는 2018~2019년 150억1000만원 수준으로 추계하였으며, 이는 현시점에서 구체화할 수 있는 사업의 규모를 최대한 포함한 것”이라고 설명했다. 그러면서 “차후 남북 군사합의 이행을 추진해 나가는 과정에서 추가적인 비용이 필요하게 되는 경우 투명하게 설명해 드릴 수 있도록 하겠다”고 강조했다.           한영혜 기자 han.younghye@joongang.co.kr"
"강경화 “북미 고위급회담 연기, 북한이 먼저 미국에 통보”",2018-11-08 12:44,정치,한영혜,"강경화 외교부 장관은 8일 북미고위급회담 연기와 관련해 “북측에서 연기하자는 통보를 받았다는 게 미국 측의 설명”이라고 밝혔다.           강 장관은 이날 국회 외교통일위원회 전체회의에서 김영철 북한 노동당 부위원장과 마이크 폼페이오 미국 국무장관의 회담이 연기된 배경을 묻는 정진석 자유한국당 의원의 질의에 “미국 측 받은 설명은, 북측에서 서로 일정이 굉장히 분주하니까 연기하자고 한 것”이라며 이같이 답했다.             이어 강 장관은 “오찬 행사 중에 우리 한반도 본부장으로부터 급히 연락을 받았다”며 “한미 간 여러 소통채널을 통해 사전에 알았다”고 밝혔다.           강 장관은 “시기적으로 어려운 부분이 있어서 조정으로 들어간 게 아닌가 싶긴 한데, ‘나중에 열린다’고 공개적으로 폼페이오 장관이 얘기한 것”이라며 “이번 연기와 관련해 너무 과도한 의미를 부여하는 것은 지나친 게 아닌가 싶다”고 했다.             강 장관은 이어 “아직 폼페이오 장관과 전화 통화가 이뤄지지 않았지만 일정을 조정 중”이라며 “미국의 회담 준비 상황에 대해 여러 레벨을 통해 파악하고 있고 남북 채널을 통해서도 이번에 연기된 협의가 조속 재개될 수 있도록 촉구하겠다”고 밝혔다.             강 장관은 “이도훈 외교부 한반도평화교섭본부장과 스티븐 비건 미 국무부 대북정책 특별대표 간 통화가 있어 일정을 조율 중”이라고 부연했다.             한영혜 기자 han.younghye@joongang.co.kr"
김성태 “‘기무사 허위공문서’ 작성…청와대 사과하라”,2018-11-08 12:43,정치,한영혜,"김성태 자유한국당 원내대표는 8일 국군기무사령부의 계엄령 문건에 대한 군ㆍ검 합동수사단의 중간수사결과와 관련, “정치공세를 부추기고 선전ㆍ선동에 앞장선 청와대는 반성하고 사과해야 한다”고 촉구했다.           김 원내대표는 국회에서 열린 비대위 회의에서 “기무사가 탱크와 장갑차를 동원해 나라를 뒤집으려고 했다면서 대통령이 인도에서 직접 수사를 지휘하더니 그 결과가 고작 허위공문서 작성인가”라며 이같이 밝혔다.           김 원내대표는 “국방부 하극상만 부추기고 군만 벌집 쑤시듯 들쑤셔 놓았다”며 “군인권센터라는 시민단체와 더불어민주당, 청와대의 삼각 커넥션이 만든 허위 내란음모 논란이야말로 심각한 국기문란”이라고 주장했다.           이어 그는 “청와대가 굳이 양심적 병역거부자를 내세워 우리 군을 쿠데타 모의나 하는 집단으로 매도하고, 내란음모나 하는 집단으로 몰아붙여야 했나”라고 반문했다. 김 원내대표가 언급한 ‘양심적 병역거부자’는 임태훈 군인권센터 소장을 의미한다.             김 원내대표는 “한국당은 기무사 내부 문건이 무분별하게 공개된 경위에 대해 수사 의뢰하고 임태훈 소장과 김의겸 청와대 대변인 등을 검찰에 고발했다”며 “검찰이 기무사 문건 수사와 관련해 즉각적으로 압수수색 영장을 청구한 것처럼 군사기밀 유출사건에 대해서도 전격적인 압수수색과 구속 수사를 해야 한다”고 강조했다.           앞서 김 원내대표는 이날 YTN라디오 ‘김호성의 출발새아침’을 통해 이낙연 국무총리에 대해 “말 잔치로 자신의 이미지 정치를 한다”고 비판했다.           또 장하성 청와대 정책실장에 대해서는 “희망고문의 아이콘으로 국민이 먹고사는 문제까지 오기와 독선으로 일관하고 있다”고 말했고, 김동연 부총리 겸 기획재정부 장관의 교체설에는 “자신들이 다 해놓고 지금와서 경제부총리를 희생양으로 앞에 세운다는 것은 누가 봐도 정의롭거나 공정하지 못하다”고 비판했다.           그는 이어 임종석 대통령 비서실장에 대해 “이 양반이 기존 남북관계에 상당히 급진적으로 속도를 내서 사실상 사고 일보직전에 처해 있다”며 “임 실장은 탁현민 비서관을 첫눈이 오면 놔주겠다더니 강원도 설악산 첫눈은 대한민국 첫눈 아닌가”라고 꼬집었다.           한영혜 기자 han.younghye@joongang.co.kr"
2030년까지 공공기관 경유차 없앤다…'클린디젤' 정책 폐기,2018-11-08 11:54,사회,천권필,"고농도 미세먼지의 원인 중 하나로 꼽히는 경유차를 줄이기 위해 '클린 디젤' 정책이 공식 폐기된다. 정부는 95만 대의 경유차량에 대한 인센티브를 폐지하고, 2030년 공공기관 경유차 제로화를 목표로 경유차를 감축해 나가기로 했다.           이낙연 국무총리는 8일 정부서울청사에서 제56회 국정현안점검조정 회의를 주재하고, 비상‧상시 미세먼지 관리 강화대책을 논의했다.            이날 회의에서 정부는 고농도 미세먼지 발생 시 재난 상황에 준해 선제적으로 대응하기로 했으며, 경유차 감축, 항만관리 강화 등 평상시에 적용할 추가 감축 조치를 확정했다.           유재철 환경부 생활환경정책실장은 회의가 끝난 뒤 브리핑에서 “고농도 미세먼지가 발생할 경우, 재난 상황에 준해 총력 대응하고, 공공부문이 선도해 비상저감 조치를 시행하도록 하겠다”고 말했다.             정부는 지금까지 시행했던 '클린 디젤' 정책을 공식 폐기한다고 밝혔다. 지금까지는 경유차의 오염물질 배출 기준을 강화해 왔지만, 앞으로는 경유차를 시장에서 퇴출하는 쪽으로 정책 방향을 바꾸겠다는 것이다."
태영호 “이선권 냉면 발언 논란된 건 김정은도 알 것”,2018-11-08 11:08,정치,채혜선,"태영호 전 영국주재 북한 대사관 공사가 이선권 북한 조국평화통일위원장의 ‘냉면 발언’에 대해 “북한으로부터 공식 사죄를 받아내거나 이선권의 인사조치를 요구하는 것은 지나치다”는 견해를 8일 밝혔다.            태 전 공사는 이날 개인 블로그 ‘태영호의 남북행동포럼’에 이런 내용이 담긴 ‘이선권 국수 목구멍 발언, 민족화해 입장에서 바라보자’는 제목의 글을 올렸다.           그에 따르면 북한에서는 ‘밥이 목구멍으로 넘어가는가’라는 말을 듣고 불쾌해하거나 기분 나빠하는 사람은 별로 없다.           태 전 공사는 “이선권이 우리 대기업 총수들과 국수를 함께 먹으러 왔다는 상황을 고려할 때 사전에 계획된 ‘의도적인 도발’은 아니라고 본다”면서 “북한도 간부들에게 주민들 앞에서 항상 언어 예절을 잘 지킬 것을 요구하고 있으며 이선권도 좋은 의도에서 웃자고 한 말일 수 있다”고 추정했다.           그러면서 “도발 의도가 없는 우발적인 문제들까지 사사건건 공식 사죄나 인사조치를 요구한다면 잘못을 범한 사람을 대중 앞에서 비판하고 처벌하는 북한 노동당식, 중국 공산당 홍위병식”이라며 “한반도의 통일은 북한 사람들의 인식 변화부터 시작되며 그러자면 북한의 잘못을 깨우쳐주는 것부터 시작해야 한다”고 지적했다.           그는 또 “이선권의 냉면 막말이 논란이 된 것을 김정은도 다 알 것”이라면서 “이선권 본인도 자극을 받았을 것이며 앞으로 남북회담에서 주의할 것”이라고 덧붙였다.             이선권은 지난 9월 평양 남북 정상회담 당시 특별수행단으로 방북한 재계 총수들과 오찬 자리에서 “지금 냉면이 목구멍으로 넘어갑니까”라고 발언한 것으로 알려져 논란이 된 바 있다.           채혜선 기자 chae.hyeseon@joongang.co.kr"
"‘옥류관 1호점 파주에’파주시, 경기도에 유치 건의",2018-11-08 10:49,정치,배재성,"파주시는 평화의 상징인 ‘옥류관 1호점’이 파주에 유치될 수 있도록 경기도의 적극적인 지원을 건의했다고 7일 밝혔다.           파주시는 통일의 길목에 있는 상징적 의미, 캠프 그리브스·임진각·통일동산 등 옥류관과 연계 가능한 풍부한 관광자원 등을 내세워 옥류관 유치를 희망하고 있다.           최종환 파주시장은 “파주는 판문점과 개성공단을 연계한 상징성이 있고 경의선과 자유로, 수도권광역급행철도(GTX) 등 접근성이 좋다”며 “옥류관 1호점이 파주에 유치될 수 있도록 한반도 평화 수도로의 역할을 다할 것”이라고 말했다.           앞서 이화영 경기도 평화부지사는 지난달 7일 ‘10·4 남북공동선언 기념행사’ 참석차 북한을 방문했다가 돌아와 북한과 옥류관 도내 유치에 합의했다고 밝힌 바 있다.           옥류관은 북한 평양에 위치한 음식점으로 대표 메뉴는 평양냉면 및 평양온면, 대동강 숭어국, 송어회 등이 있다. 평양 외에도 금강산 관광구역과 중국 베이징 등에 분점이 있다.             1989년 평양을 방문했던 문익환 목사는 옥류관 음식을 “통일 잔치에 내놓을 훌륭한 민족 음식”이라고 평가했으며, 1998년 방북한 정주영 현대그룹 전 명예회장도 “옥류관에선 이름난 평양냉면을 먹어보아도 그렇고 신선로나 약밥 숭어국을 먹어보아도 그렇고 민족 고유의 전통이 살아있다”고 말했다.             배재성 기자 hongdoya@joongang.co.kr"
"[서소문사진관] 구호양곡부터 평화유지군까지, 한국과 UN 반세기",2018-11-08 10:45,정치,최정동,행정안전부 국가기록원은 7일부터 홈페이지(www.archives.go.kr)에서 유엔에서 수집한 사진 기록물을 공개한다. '한국과 유엔'을 주제로 공개되는 기록물 745건에는 1947년 한국 대표의 유엔총회 참석부터 2006∼2008년 반기문 사무총장 활동 모습까지 한국과 유엔 간의 역사를 이해하는 데 도움이 되는 자료들이 포함돼 있다.                                                                                                                                                                                                                                                                                                                                                                                               최정동 기자
