제목,날짜,분류,기자,본문
North Korea takes swipe at Japan over 'denial of past sins' ,2018-11-11 13:32,North Korea,,"North Korea's Rodong Sinmun lambasted Japan on Sunday for its ""denial of past sins"" committed against wartime forced labor victims. ""The Korean people will definitely exact an apology and compensation from Japan for its past sins,"" the North's official newspaper said, referring to Japan's recent protest over the South Korean Supreme Court's ruling on Oct. 30 to order a Japanese steelmaker to compensate four South Koreans for wartime forced labor and unpaid work. The top court upheld an appeals court ruling in 2013, which ordered Nippon Steel & Sumitomo Metal Corp. (NSSM) to pay each plaintiff 100 million won ($87,720) in compensation. The newspaper called Japanese politicians' objections to the ruling, ""Yet another fuss that shows their shameless nature to escape responsibility for past sins."" The ruling is ""the reflection of South Korea's public sentiment to get paid for the unforgivable past sins committed by Japan,"" it said. Tokyo has decided to change the term for wartime forced laborers to a ""laborer from the former Joseon Peninsula,"" NHK reported Sunday. Joseon is the name for the last dynasty of Korea. Previously, it mainly called them ""drafted workers."" The recent move is seen here as Tokyo's attempt to conceal the fact that these laborers were forced to work against their will during the colonial period. Japanese lawmakers, including Prime Minister Shinzo Abe, have recently reiterated their government's official stance that Japan didn't force them to work, and that any wartime compensation issue was fully settled in the 1965 bilateral accord on normalizing the countries' diplomatic ties. But Seoul has argued the deal does not cover all issues, including Japan's wartime sexual enslavement of Korean women. (Yonhap) "
"Top officials of US, China discuss North Korea ",2018-11-10 12:32,North Korea,,"Top officials of the United States and China met in Washington on Friday to discuss their bilateral relationship and efforts to rid North Korea of its nuclear weapons.In a press conference following the talks, U.S. Secretary of State Mike Pompeo said he urged China's cooperation on sanctions enforcement to help achieve the denuclearization of North Korea.""I expressed in our meeting today the importance of remaining united in pursuit of a final, fully verified denuclearization of North Korea as agreed to by Chairman Kim in Singapore,"" he said, referring to the historic summit between U.S. President Donald Trump and North Korean leader Kim Jong-un in June.""This means maintaining pressure through the continued strict enforcement of all U.N. Security Council (sanctions) resolutions,"" Pompeo said, adding that China's cooperation ""will help achieve meaningful breakthroughs on this important denuclearization issue.""The U.S. and China have been at odds over sanctions policy, with Washington insisting that the sanctions remain on until North Korea fully dismantles its nuclear program and Beijing calling for a gradual easing of sanctions in return for Pyongyang's disarmament steps.Speaking alongside Pompeo, Yang Jiechi, director of the Chinese Communist Party's Office of Foreign Affairs, said the two sides held ""in-depth"" talks on the Korean Peninsula.""China reaffirmed its position and commitment to denuclearization of the Korean Peninsula, peace and stability of the Korean Peninsula, and a solution through conversation and negotiation,"" he said.On the sanctions, he said China will ""continue to enforce strictly"" the relevant U.N. Security Council resolutions.And on the diplomatic dialogue between the U.S. and North Korea, he said China hopes that the two sides will ""meet each other halfway, accommodate each other's legitimate concerns, build trust and advance the denuclearization process and the establishment of a peace mechanism in tandem.""His remarks come after a scheduled Thursday meeting between Pompeo and a top North Korean official in New York was postponed at the last minute due to what the U.S. said were scheduling issues.The sudden cancellation raised speculation that the North canceled the meeting in anger over the U.S. refusal to lift sanctions until after the full denuclearization of the regime.Friday's meeting, called the U.S.-China Diplomatic and Security Dialogue, was also joined by U.S. Defense Secretary James Mattis and his Chinese counterpart, Wei Fenghe.Separately, South Korean Ambassador to the United States Cho Yoon-je called for confidence to further move North Korea's denuclearization forward and bring peace to the Korean Peninsula. ""We should note that confidence is the key to take a much bigger step in the future,"" Cho said, calling North Korea's suspension of nuclear and missile tests, and dismantlement of its nuclear test site ""a big progress"" in building confidence.The envoy made the comments in a speech earlier in the day after receiving the Distinguished Diplomatic Service Award from the World Affairs Council-Washington, DC, a nonprofit nonpartisan group, in recognition of his service to foreign affairs.The award has been given each year since 2009, and Cho is the first South Korean to receive it. (Yonhap) "
Unification minister to visit US at critical time ,2018-11-09 17:40,North Korea,,"By Kim Bo-eunUnification Minister Cho Myoung-gyon will visit the U.S. next week, to discuss inter-Korean affairs with key government officials and members of the Congress there.Cho will visit New York and Washington, D.C., Nov. 13 to 17, according to the ministry, Friday.The minister will attend the Korea Global Forum on Nov. 15 to deliver a keynote speech there.""In addition, the plan is to meet with government officials and members of Congress to discuss inter-Korean relations and means to achieve peace on the Korean Peninsula,"" the ministry said in a statement.Morever, Cho will visit The Korea Society, the Center for Strategic and International Studies and speak with experts there.""The minister will also meet with Korean-Americans there to share with them the government's policy toward North Korea and enhance their understanding and cooperation toward the issue of inter-Korean relations and unification,"" the ministry said.""We hope that through the unification minister's visit to the U.S., cooperation between South Korea and the U.S. will be further strengthened on the denuclearization of the Korean Peninsula, the settlement of lasting peace and improving inter-Korean relations, and that there will be an expansion in understanding and support among Korean-Americans there.""The visit will take place at a time when progress is slow on denuclearization talks between North Korea and the U.S. A high-level meeting between the states that was scheduled to take place this week was postponed a day after the U.S. State Department confirmed it would take place.Meanwhile, inter-Korean projects including inspections of railway sections in the North have been put on hold. The Koreas agreed earlier to hold a groundbreaking ceremony for the project to connect railways between the South and North by late October or early December.The minister will likely attempt to seek to convince U.S. officials of the need to advance inter-Korean relations and affairs during his visit.The unification ministry said an inter-Korean meeting of a team inspecting roads will take place on Monday, to discuss inspections of the road along the east coast. This is part of a project to connect roads of the South and North.  By Kim Bo-eun  Unification Minister Cho Myoung-gyon will visit the U.S. next week, to discuss inter-Korean affairs with key government officials and members of the Congress there.  Cho will visit New York and Washington, D.C., Nov. 13 to 17, according to the ministry, Friday.  The minister will attend the Korea Global Forum on Nov. 15 to deliver a keynote speech there.  ""In addition, the plan is to meet with government officials and members of Congress to discuss inter-Korean relations and means to achieve peace on the Korean Peninsula,"" the ministry said in a statement.  Morever, Cho will visit The Korea Society, the Center for Strategic and International Studies and speak with experts there.  ""The minister will also meet with Korean-Americans there to share with them the government's policy toward North Korea and enhance their understanding and cooperation toward the issue of inter-Korean relations and unification,"" the ministry said.  ""We hope that through the unification minister's visit to the U.S., cooperation between South Korea and the U.S. will be further strengthened on the denuclearization of the Korean Peninsula, the settlement of lasting peace and improving inter-Korean relations, and that there will be an expansion in understanding and support among Korean-Americans there.""  The visit will take place at a time when progress is slow on denuclearization talks between North Korea and the U.S. A high-level meeting between the states that was scheduled to take place this week was postponed a day after the U.S. State Department confirmed it would take place.  Meanwhile, inter-Korean projects including inspections of railway sections in the North have been put on hold. The Koreas agreed earlier to hold a groundbreaking ceremony for the project to connect railways between the South and North by late October or early December.  The minister will likely attempt to seek to convince U.S. officials of the need to advance inter-Korean relations and affairs during his visit.  The unification ministry said an inter-Korean meeting of a team inspecting roads will take place on Monday, to discuss inspections of the road along the east coast. This is part of a project to connect roads of the South and North. "
"NK media condemn SK-US working group, joint military drill ",2018-11-09 10:39,North Korea,,"North Korea's external propaganda media on Friday lashed out at recent decisions by South Korea and the United States to launch a working group on the North's denuclearization and resume a joint marine drill. Uriminzokkiri, a website run by Pyongyang, said that the working group plan underlines a ""wicked U.S. intent"" to hinder and destroy inter-Korean cooperation projects. ""The U.S. is about to set up an organ to directly monitor and control inter-Korean relations. It's an arrogant act. There are no grounds for the U.S. to intervene in the affairs between South and North Korea,"" said the website in a commentary. Seoul and Washington agreed last week to launch a joint working group for frequent and systemic discussions on denuclearization, a peace regime and sanctions on the North. On Monday, the allies resumed the Korea Marine Exercise Program (KMEP), which involves some 500 troops, including U.S. marines from Okinawa, Japan, and military equipment, such as amphibious assault vehicles. The Pyongyang website went on to warn that the public's anti-American sentiment will only further intensify as long as the U.S. interferes in inter-Korean relations. It also accused South Korea of blindly obeying the United States' arrogant and gangster-like acts. ""The authorities in South Korea should thoroughly implement inter-Korean joint declarations, instead of succumbing to the U.S., if they have a willingness to write a new history in inter-Korean relations,"" the website said. Meari, another propaganda website run by the North, denounced the resumption of the KMEP after a lapse of six months, saying the joint drill runs counter to the inter-Korean military agreement and threatens peace and prosperity on the Korean Peninsula. (Yonhap) "
No further dismantlement at NK missile site: 38 North ,2018-11-09 09:25,North Korea,,"North Korea's key missile site has not been dismantled further since August, a U.S. website monitoring the regime said Thursday. North Korea has pledged to dismantle a missile engine testing site and a launch pad in Dongchang-ri as part of its stated commitment to denuclearize the Korean Peninsula. 38 North said satellite imagery from Oct. 31 indicates there has been no additional dismantlement activity since August. ""Components that were previously removed remain stacked on the ground at both locations,"" 38 North said in an article posted on its website. Meanwhile, the imagery shows new equipment, possibly for ventilation, installed on the roof of a fuel and oxidizer storage bunker at the site. ""While the new equipment seems to have been installed between June and July 2018, previous imagery until late October had insufficient detail to distinguish between partial roof demolition and new equipment installation,"" it said. The United States and North Korea have been in talks to implement an agreement reached by U.S. President Donald Trump and North Korean leader Kim Jong-un to work toward the ""complete"" denuclearization of the Korean Peninsula in exchange for security guarantees from the U.S. U.S. Secretary of State Mike Pompeo and a top North Korean official had been scheduled to meet in New York on Thursday to continue the negotiations and plan a second summit between Trump and Kim. The talks were abruptly postponed due to what the U.S. said were scheduling issues. (Yonhap) "
High-ranking defector cancels event appearance over 'threatening letter' ,2018-11-08 15:33,North Korea,,"By Jung Da-min  By Jung Da-min  Thae Yong-ho, a high-ranking North Korean defector who has backed sanctions on North Korea, called off attending a public event early this week after receiving a threatening letter from an online community for progressive students. The letter warned him to stop ""activities hindering reunification"" of the two Koreas or the community's members will move to ""arrest"" him. Such criticism is not unusual for Thae, who fled to Seoul in August 2016 while serving in the United Kingdom as North Korea's deputy ambassador. He has been a target of harsh words from progressive activists who support the Moon Jae-in administration's North Korea-friendly policies. But it is the first time he has canceled an appearance following criticism. The community posted the letter's full text on its Facebook account Tuesday, the day it sent the letter to the defector and the cancelation took place. In the letter, the community condemned Thae for making critical comments of North Korea's human rights at a recent seminar at the National Assembly. ""You only made remarks that hinder peace and unification (of the two Koreas) during the seminar,"" the community wrote. ""Please stay calm and don't stand in the way toward peace and unification.""According to reports, Thae decided to cancel ""at the last minute"" after discussing the issue with his security guards.""We were told from Thae's side that it would be difficult for him to attend the event because of those who would stage a rally calling for Thae's arrest,"" an event organizer was quoted as saying in a report.Earlier, Thae complained about the government's sluggish response to threats to defectors critical of the North. Thae Yong-ho, a high-ranking North Korean defector who has backed sanctions on North Korea, called off attending a public event early this week after receiving a threatening letter from an online community for progressive students.  The letter warned him to stop ""activities hindering reunification"" of the two Koreas or the community's members will move to ""arrest"" him.  Such criticism is not unusual for Thae, who fled to Seoul in August 2016 while serving in the United Kingdom as North Korea's deputy ambassador. He has been a target of harsh words from progressive activists who support the Moon Jae-in administration's North Korea-friendly policies. But it is the first time he has canceled an appearance following criticism.  The community posted the letter's full text on its Facebook account Tuesday, the day it sent the letter to the defector and the cancelation took place.  In the letter, the community condemned Thae for making critical comments of North Korea's human rights at a recent seminar at the National Assembly.  ""You only made remarks that hinder peace and unification (of the two Koreas) during the seminar,"" the community wrote. ""Please stay calm and don't stand in the way toward peace and unification.""  According to reports, Thae decided to cancel ""at the last minute"" after discussing the issue with his security guards.  ""We were told from Thae's side that it would be difficult for him to attend the event because of those who would stage a rally calling for Thae's arrest,"" an event organizer was quoted as saying in a report.  Earlier, Thae complained about the government's sluggish response to threats to defectors critical of the North. "
Trump says summit with North Korea to happen early next year ,2018-11-08 09:46,North Korea,,"  U.S. President Donald Trump said Wednesday that he expects to meet North Korean leader Kim Jong-un ""sometime early next year.""Trump's remarks came hours after the U.S. announced the postponement of Thursday's scheduled meeting between Secretary of State Mike Pompeo and North Korean officials in New York.""We're very happy how it's going with North Korea,"" Trump said at a White House press conference on Tuesday's midterm elections, adding that the meeting will be rescheduled.He attributed the sudden cancellation to ""trips that are being made,"" but did not elaborate.""We think it's going fine,"" Trump said. ""We're in no rush. We're in no hurry. The sanctions are still on.""Pompeo and Kim Yong-chol, a close aide to the North Korean leader, were expected to continue talks on dismantling the regime's nuclear weapons program and arranging a second summit between the leader and Trump.Asked if he still plans to have the second summit, the U.S. president said, ""Sometime next year, I would say. Sometime early next year.""The State Department provided no explanation for the meeting's postponement.In a statement released at midnight, the department said the two sides ""will reconvene when our respective schedules permit."" U.S. President Donald Trump said Wednesday that he expects to meet North Korean leader Kim Jong-un ""sometime early next year.""  Trump's remarks came hours after the U.S. announced the postponement of Thursday's scheduled meeting between Secretary of State Mike Pompeo and North Korean officials in New York.  ""We're very happy how it's going with North Korea,"" Trump said at a White House press conference on Tuesday's midterm elections, adding that the meeting will be rescheduled.  He attributed the sudden cancellation to ""trips that are being made,"" but did not elaborate.  ""We think it's going fine,"" Trump said. ""We're in no rush. We're in no hurry. The sanctions are still on.""  Pompeo and Kim Yong-chol, a close aide to the North Korean leader, were expected to continue talks on dismantling the regime's nuclear weapons program and arranging a second summit between the leader and Trump.  Asked if he still plans to have the second summit, the U.S. president said, ""Sometime next year, I would say. Sometime early next year.""  The State Department provided no explanation for the meeting's postponement.  In a statement released at midnight, the department said the two sides ""will reconvene when our respective schedules permit.""  ""Ongoing conversations continue to take place,"" it said. ""The United States remains focused on fulfilling the commitments agreed to by President Trump and Chairman Kim at the Singapore Summit in June.""The Singapore summit was the first meeting between Trump and Kim, who committed to work toward ""complete"" denuclearization of the Korean Peninsula in exchange for security guarantees from the U.S.The abrupt rescheduling raises questions about the prospects for continued negotiations between Washington and Pyongyang.North Korea has increasingly called for sanctions relief in return for its denuclearization steps, but the U.S. has refused to comply until the full and verified denuclearization of the regime.Trump said Wednesday that he would ""love to take the sanctions off, but they have to be responsive, too.""In August, Trump canceled Pompeo's planned trip to Pyongyang, citing a lack of progress in North Korea's denuclearization.Before that he also called off the Singapore summit before putting it back on.That decision came after Kim Yong-chol met with Pompeo in New York in May. At the time, Kim also traveled to Washington to deliver a personal letter from the North Korean leader to Trump at the White House.Speaking at a regular press briefing, State Department deputy spokesperson Robert Palladino emphasized that the postponement was ""purely a matter of scheduling.""""Schedules change all the time,"" he said. ""Everything else remains completely on track."" (Yonhap)  ""Ongoing conversations continue to take place,"" it said. ""The United States remains focused on fulfilling the commitments agreed to by President Trump and Chairman Kim at the Singapore Summit in June.""  The Singapore summit was the first meeting between Trump and Kim, who committed to work toward ""complete"" denuclearization of the Korean Peninsula in exchange for security guarantees from the U.S.  The abrupt rescheduling raises questions about the prospects for continued negotiations between Washington and Pyongyang.  North Korea has increasingly called for sanctions relief in return for its denuclearization steps, but the U.S. has refused to comply until the full and verified denuclearization of the regime.  Trump said Wednesday that he would ""love to take the sanctions off, but they have to be responsive, too.""  In August, Trump canceled Pompeo's planned trip to Pyongyang, citing a lack of progress in North Korea's denuclearization.  Before that he also called off the Singapore summit before putting it back on.  That decision came after Kim Yong-chol met with Pompeo in New York in May. At the time, Kim also traveled to Washington to deliver a personal letter from the North Korean leader to Trump at the White House.  Speaking at a regular press briefing, State Department deputy spokesperson Robert Palladino emphasized that the postponement was ""purely a matter of scheduling.""  ""Schedules change all the time,"" he said. ""Everything else remains completely on track."" (Yonhap) "
Pompeo delays talks set this week with senior North Koreans ,2018-11-07 14:07,North Korea,,"A meeting between U.S. Secretary of State Mike Pompeo and North Korean officials set for Thursday in New York has been postponed and will be rescheduled ""when our respective schedules permit,"" the U.S. State Department said on Wednesday. In a statement, it added, ""Ongoing conversations continue to take place,"" but did not elaborate. ""The United States remains focused on fulfilling the commitments agreed to by President Trump and Chairman Kim at the Singapore summit in June,"" it said. The exact reason for the postponement was unclear. Pompeo had been due to hold talks with senior North Korean official Kim Yong Chol, which were hoped to have opened the way for a second summit of the two countries' leaders and make progress on denuclearization. The meeting agenda had been to ""discuss making progress on all four pillars of the Singapore Summit joint statement, including achieving the final, fully verified denuclearization"" of North Korea, the State Department had said this week. The June meeting of President Donald Trump and Kim Jong Un in Singapore was the first summit meeting of an incumbent U.S. president and a North Korean leader. At that meeting, Kim Jong Un, who seeks relief from tough U.S.-led sanctions, committed to work toward denuclearization, but his steps since have fallen short of U.S. demands for irreversible moves to abandon a weapons program that potentially threatens the United States. (Reuters) "
Moon formally appoints Goldman Sachs economist as chief of presidential committee ,2018-11-07 13:46,North Korea,,"President Moon Jae-in on Wednesday formally appointed Kwon Goo-hoon, a senior economist at the global investment firm Goldman Sachs, to head the Presidential Committee on Northern Economic Cooperation. Kwon, 56, replaced Rep. Song Young-gil of the ruling Democratic Party as chairman of the committee that was formed to reinforce economic and other forms of cooperation with the northern region, including Eurasia. A graduate of Seoul National University, Kwon earned his Ph.D from Harvard University. He worked at the London office of ABN AMRO Bank and as deputy chief of the Moscow office of the International Monetary Fund (IMF). He joined Goldman Sachs in 2007 after working as a senior IMF economist. Presidential spokesman Kim Eui-kyeom said at a briefing that Moon personally picked Kwon as he was impressed by a lecture Kwon gave on TV. Moon also read a book about his lecture during the summer vacation, the spokesman said. Kwon also said during the briefing that he will take advantage of his experiences with the IMF and Goldman Sachs to carry out his duties. (Yonhap) "
North Korea promotes inter-Korean summit symbols to attract tourists ,2018-11-07 12:00,North Korea,,"North Korea anxious to jack up its tourism revenue appears to be aggressively promoting the symbols of inter-Korean summit talks, such as Pyongyang cold noodles, the border peace village of Panmunjom and Mount Paekdu, to potential foreign tourists. JS Tours, a Japanese booking agent of the North's Korean International Travel Co., has launched North Korean tour packages featuring places jointly visited by the leaders of South and North Korea, American broadcaster Radio Free Asia (RFA) reported Wednesday. On its website, the Japanese agent advertises a three-night, four-day Pyongyang tour package that includes stops in the well-known Okryugwan and Chongryugwan restaurants, saying the restaurants offer original Pyongyang cold noodles, or ""naengmyeon"" in Korean. South Korean President Moon Jae-in, North Korean leader Kim Jong-un, their wives and attendants ate naengmyeon at Okryugwan after an inter-Korean summit in Pyongyang in September. JS Tours has also offered a new five-night, six-day tour package bound for Mount Paekdu, saying Moon and Kim had a commemorative photo together at the Chonji crater lake on top of the North Korean mountain, according to RFA. A North Korean tourism industry official recently told the Chosun Sinbo that Panmunjom, where Moon and Kim held their first summit in April, is the most popular tourist destination in the North. The official estimated that the number of foreign visitors to Panmunjom is expected to more than double this year, due to tourists' curiosity for the inter-Korean border crossed by Kim. Tourism is considered one of the rare sources of foreign currency earnings for North Korea, which has been put under international economic sanctions. For that reason, the Pyongyang regime has recently been diversifying its tour package programs for foreigners to increase its tourism revenue. The North's Rodong Sinmun daily newspaper this week introduced Cuba's success as a popular tourist destination, noting the country aims to increase the number of foreign visitors from 4.7 million last year to 5 million this year. (Yonhap) "
